ReMark	 Des	ID	titleid	MNTitleStr	level	starlevel	vocation	npcflag	camp	sex	modid	ModSize	MinReliveTime	MaxReliveTime	aidataid	skillgroup	aialarmid	counter	movespeed	turnspeed	collisiontype	ownershiplogic	dialogid	bubbleid	growid	growcount	evil_value_dec	dropcustomid	dropquestid	droptemplateid	dropworldid	dropradius	triggereventflag	npcexp	npcexpparam
0	0	15220	99999999	99999999	25	2	93	61	-1	0	1000	4	0	0	2	401	8	0	4	0	9	2	7708	0	0	0	1	0	0	0	105	0	0	0	0
0	0	15221	99999999	99999999	25	2	93	61	-1	0	1000	4	0	0	22	402	9	0	4	0	9	2	7708	0	0	0	1	0	0	0	105	0	0	0	0
0	0	15222	99999999	99999999	25	2	93	61	11	0	2	4	0	0	23	205	0	0	4	0	9	4	1	0	0	0	1	0	0	0	0	0	0	0	0
1-0-1	怪物	100001	100001	1	25	2	93	1	11	0	2	4	0	0	50	205	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-0-2	怪物	100002	100002	1	25	2	93	2	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-0-3	怪物	100003	100003	1	25	2	93	3	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-1-1	怪物	100101	100101	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-1-2	怪物	100102	100102	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-2-1	怪物	100201	100201	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-2-2	怪物	100201	100201	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-3-1	怪物	100301	100301	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-3-2	怪物	100302	100302	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-3-3	怪物	100303	100303	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-3-4	怪物	100304	100304	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-4-1	怪物	100401	100401	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-4-2	怪物	100402	100402	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-4-3	怪物	100403	100403	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-5-1	怪物	100501	100501	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-5-2	怪物	100502	100502	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-5-3	怪物	100503	100503	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-6-1	怪物	100601	100601	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-6-2	怪物	100602	100602	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-6-3	怪物	100603	100603	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-6-4	怪物	100604	100604	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-7-1	怪物	100701	100701	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-7-2	怪物	100702	100702	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-7-3	怪物	100703	100703	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-8-1	怪物	100801	100801	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-8-2	怪物	100802	100802	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-8-3	怪物	100803	100803	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-9-1	怪物	100901	100901	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-9-2	怪物	100902	100902	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-9-3	怪物	100903	100903	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-9-4	怪物	100904	100904	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-9-5	怪物	100905	100905	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-10-1	怪物	101001	101001	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-10-2	怪物	101002	101002	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-10-3	怪物	101003	101003	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-10-4	怪物	101004	101004	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-11-1	怪物	101101	101101	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-11-2	怪物	101102	101102	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-11-3	怪物	101103	101103	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-11-4	怪物	101104	101104	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-12-1	怪物	101201	101201	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-12-2	怪物	101202	101202	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-12-3	怪物	101203	101203	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-12-4	怪物	101204	101204	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
1-12-5	怪物	101205	101205	1	25	2	93	1	11	1	2	4	0	0	0	0	1	0	4	0	9	4	-1	0	0	0	1	0	0	0	0	0	0	0	0
任务1接	NPC	10001	10001	1	25	2	93	101	11	1	2	4	0	0	0	0	1	0	4	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0
任务2交	NPC	10002	10002	1	25	2	93	101	11	1	2	4	0	0	0	0	1	0	4	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0
