GroupIdx	LogicType	Des
6002	0	检测天梯等级是否达到钻石
6003	0	检测天梯等级是否达到王者
6004	0	任务藏宝图
6005	0	30级东海宝藏1-绿色
6006	0	30级东海宝藏2-绿色
6007	0	30级东海宝藏3-绿色
6008	0	30级东海宝藏4-绿色
6009	0	30级东海宝藏5-绿色
6010	0	30级东海宝藏6-绿色
6011	0	30级东海宝藏7-绿色
6012	0	30级东海宝藏8-绿色
6013	0	30级东海宝藏9-绿色
6014	0	30级东海宝藏10-绿色
6015	0	30级东海宝藏11-绿色
6016	0	30级东海宝藏12-绿色
6017	0	30级东海宝藏13-绿色
6018	0	30级东海宝藏14-绿色
6019	0	30级东海宝藏15-绿色
6020	0	30级东海宝藏16-绿色
6021	0	30级东海宝藏17-绿色
6022	0	30级东海宝藏18-绿色
6023	0	30级东海宝藏19-绿色
6024	0	30级东海宝藏20-绿色
6025	0	30级东海宝藏1-蓝色
6026	0	30级东海宝藏2-蓝色
6027	0	30级东海宝藏3-蓝色
6028	0	30级东海宝藏4-蓝色
6029	0	30级东海宝藏5-蓝色
6030	0	30级东海宝藏6-蓝色
6031	0	30级东海宝藏7-蓝色
