itemid	des	nameid	desid	type	subtype	level	vocation	sex	minlevel	maxlevel	maxnum	limitunm	usecount	ruleid	skillid	skilluserdata	buybackprice	buybackprice_bindgold	sellprice	sellprice_bindgold	lootresid	commoncheckgroupid	validtime	invalidtime	validtime_mode	offline_time_mode	broadcasttype0	broadcastmode0	broadcastid0	broadcastrepeat0	broadcastparam0	soundindex	icon
81	火焰龙马	40020042	40000064	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
82	熔岩龙马	40020043	40000064	3	0	4	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
83	凤尾城	40020044	40000064	3	0	4	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
84	火焰麒麟	40020045	40000064	3	0	2	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
85	烈火麒麟	40020046	40000064	3	0	4	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
86	火焰麒麟	40020047	40000064	3	0	3	63	0	1	-1	99	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_tujian
87	生命药剂	20000354	20000355	1	0	4	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_009
90	道具规则测试物品	20000005	40130391	1	0	0	63	0	1	-1	20	0	-1	5	-1	0	0	2	0	1	105	229	-1	-1	-1	0	0	0	0	0	0	0	Item_XuePing
91	奇怪的血瓶	20000005	40130391	1	0	5	63	1	1	20	20	0	-1	10	-1	0	0	0	0	-1	105	229	600	0	0	1	0	0	0	0	0	0	DJ_006
92	能用十次的唯一小血瓶	20000005	40130391	1	0	2	63	0	1	-1	1	0	10	8	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_006
93	携带上限小血瓶	20000005	40130391	1	0	1	63	0	1	-1	1	0	-1	9	-1	0	0	0	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_006
94	测试加10金道具	90000004	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_Gold
95	测试减100罪恶道具	90000005	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_ac_card03
96	测试减20%罪恶道具	90000006	-1	7	0	2	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_ac_card05
97	测试加2000经验道具	90000007	-1	7	0	3	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	INV_Jewelry_Amulet_08
98	测试传送到scene3道具	90000008	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	WX_ZD_S_002
99	测试获得3个武器道具	90000009	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	INV_Sword_19
100	测试获得10血瓶道具	90000010	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	INV_Jewelry_Amulet_01
101	测试矿锤	40140012	40140013	7	0	1	63	0	1	-1	1000	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	WX_ZD_S_005
102	测试铜矿	40140014	40140015	6	0	2	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	WX_ZD_H_001
103	测试加100防御buff道具	90000011	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	INV_Gauntlets_08
104	测试获得514任务	90000012	-1	7	0	3	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	DJ_002
105	测试获得疯狂屠戮技能	90000013	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	INV_Jewelry_Talisman_04
106	测试创建npc	90000014	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	INV_Jewelry_Talisman_06
107	测试创建npc固定等级	90000015	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	INV_Jewelry_Talisman_06
108	测试创建npc人物等级	90000016	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	INV_Jewelry_Talisman_06
109	测试创建npc队伍等级	90000017	-1	7	0	1	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	INV_Jewelry_Talisman_06
111	测试孔雀石	40140016	40140017	5	0	3	63	0	1	-1	20	0	-1	6	-1	0	0	2	0	1	105	-1	60	-1	0	0	0	0	0	0	0	0	WX_ZD_M_003
112	测试炼妖壶	40140112	40140013	7	0	6	63	0	1	-1	20	0	-1	10	-1	0	0	0	0	0	-1	1	-1	-1	-1	0	-1	0	0	0	0	0	DJ_002
113	测试开启对话	20000226	40130393	1	0	3	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	-1	105	229	-1	-1	-1	0	0	0	0	0	0	0	DJ_008
114	神木令中的书信	20000114	21000114	5	0	2	63	0	1	-1	1	0	-1	1	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.xueshu
115	海藻	22000001	21000115	5	0	2	63	0	-1	-1	100	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_recipe_114
116	海盐	22000002	21000115	5	0	2	63	0	-1	-1	100	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_recipe_114
117	肉糜	20000117	21000115	5	0	2	63	0	-1	-1	100	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_recipe_114
118	汤谷低级军粮	22000003	21000301	5	0	2	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.zuixie
119	泪螺	22000004	21000119	5	0	3	63	0	1	-1	1	0	99	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.leiluo
120	东海石像	70000699	40130436	5	0	3	63	0	21	-1	20	0	-1	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.dhsx
121	海神泪	10000259	-1	5	0	3	63	0	1	-1	1	0	99	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.haishenlei
122	大荒经	40010567	-1	5	0	3	63	0	1	-1	1	0	1	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.dahuangjing
123	珊瑚笛	50001510	50001510	5	0	2	63	0	1	-1	1	0	-1	1	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.dhsx
124	成猴子的腰牌	22000014	22000015	5	0	2	63	0	1	-1	1	0	-1	1	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.dhsx
125	黑齿国山洞的钥匙	22000016	22000017	5	0	2	63	0	1	-1	1	0	-1	10	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.dhsx
126	迷失的灵魂	10000521	10000521	5	0	2	63	0	1	-1	100	0	-1	1	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.dhsx
127	汤谷低级药水	22000007	21001201	5	0	2	63	0	1	-1	20	0	-1	10	-1	0	0	2	0	1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.zuixie
128	灰败内丹	22000006	21000115	5	0	2	63	0	-1	-1	100	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_recipe_114
129	金石露	10000570	21000114	5	0	2	63	0	1	-1	1	0	-1	1	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.xueshu
130	日华城_蜥蜴肉	22000011	22000011	5	0	1	63	0	-1	-1	100	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.jiuxie
131	日华城_龙马肉	22000012	22000012	5	0	1	63	0	-1	-1	100	0	-1	10	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.jiuxie
132	日华城_日华城士兵的腰牌	22000013	40002001	5	0	3	63	0	-1	-1	1	0	-1	14	-1	0	0	0	0	0	105	520	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.dhsx
133	日华城-叉烧肉	20000133	20000133	5	0	1	63	0	10	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	DJ_003
134	日华城_盘古九碑的碑文	20000134	20000134	5	0	1	63	0	1	-1	1	0	-1	1	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.xueshu
135	法师时装染色剂测试	20000005	40130391	9	0	1	2	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	DJ_006
136	法师时装染色剂测试	20000005	40130391	9	0	1	2	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	DJ_006
137	法师时装染色剂测试	20000005	40130391	9	0	1	2	0	1	-1	20	0	-1	10	-1	0	0	0	0	-1	105	-1	-1	-1	-1	0	0	0	0	0	0	0	DJ_006
138	雷泽城_五行谱	20000138	21000138	5	0	3	63	0	-1	-1	1	0	-1	14	-1	0	0	0	0	0	105	523	-1	-1	-1	0	0	0	0	0	0	0	ZB_YF_003
139	变身药剂	20000139	21000139	5	0	2	63	0	-1	-1	6	0	-1	14	-1	0	0	0	0	0	105	524	-1	-1	-1	0	0	0	0	0	0	0	DJ_006
140	汤谷海龟的肉末	20000140	21000140	5	0	1	63	0	1	-1	20	0	-1	5	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.xueshu
141	空桑雕像内的秘密-泪螺	20000141	21000141	5	0	3	63	0	1	-1	1	0	99	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.leiluo
142	8级神木令	20000142	90002084	5	0	3	63	0	1	-1	1	0	99	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.leiluo
143	10级神木令	20000143	90002084	5	0	3	63	0	1	-1	1	0	99	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.leiluo
144	石碧瑶鱼的返魂灯	20000144	21000144	5	0	2	63	0	1	-1	100	0	-1	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.nianye
145	盾甲蝎身上掉的毒腺	20000145	21000145	5	0	1	63	0	1	-1	6	0	-1	1	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.neidan
146	黑齿国探子的密信	20000146	21000146	5	0	2	63	0	1	-1	100	0	-1	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item_recipe_114
147	止血草	20000147	21000147	5	0	1	63	0	1	-1	6	0	-1	31	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.neidan
148	散瘀果	20000148	21000148	5	0	1	63	0	1	-1	6	0	-1	31	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.neidan
149	解毒花	20000149	21000149	5	0	1	63	0	1	-1	6	0	-1	31	-1	0	0	2	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Material.neidan
150	战备记录	20000150	21000150	5	0	1	63	0	1	-1	100	0	-1	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.zhanbeijilu
151	龟板	20000151	21000151	5	0	1	63	0	1	-1	100	0	-1	1	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.guiban
152	玄股龟板	20000152	21000152	5	0	1	63	0	1	-1	100	0	-1	31	-1	0	0	0	0	0	105	-1	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.guiban
153	珊瑚岛杂草	20000153	21000153	5	0	1	63	0	1	-1	20	0	-1	28	-1	0	0	0	0	-1	105	8161	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.zacao
154	无头的傀儡	20000154	21000154	5	0	1	63	0	1	-1	100	0	1	33	-1	0	0	0	0	0	105	2054	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.wutoukuilei
155	独腿的傀儡	20000155	21000155	5	0	1	63	0	1	-1	100	0	1	33	-1	0	0	0	0	0	105	2054	-1	-1	-1	0	0	0	0	0	0	0	Item/Quest.dutuikuilei
