cardID	CardName	CounterType	Rarity	Type	Career	Wtype1	Wtype2	Wtype3	Gender	Sort	voice_C	voice_J	PieceID	PieceNum	Proficiency1_A	Proficiency2_A	Proficiency3_A	Proficiency1_B	Proficiency2_B	Proficiency3_B	Proficiency1_C	Proficiency2_C	Proficiency3_C	Proficiency4_A	Proficiency5_A	Proficiency4_B	Proficiency5_B	Proficiency4_C	Proficiency5_C	rootSkillID2Attr	rootSkillID3Attr	rootSkillID4Attr	rootSkillID1	rootSkillID2	rootSkillID3	rootSkillID4	otherSkill	ShowSkill	SwitchCD	MoveSpeed	SMoveSpeed	RollDis	RollTime	WeaponID1	WeaponID2	EnergyID1	EnergyID2	CSEffect	SEffect
15	700015	2	3	0	0	1	2	3	1	0	-1	-1	30005	15	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105300	105310	105320	105330	15001	15032	500105	7	1.5	3	0.5	4	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
16	700016	3	1	1	0	1	2	3	1	0	-1	-1	30006	5	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	104900	104910	104920	104930	5201	5211	500101	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
17	700017	1	2	0	0	1	2	3	1	0	-1	-1	30007	10	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105000	105010	105020	105030	15001	15032	500102	7	1.5	3	0.5	7	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
18	700018	2	3	1	0	1	2	3	1	0	-1	-1	30008	15	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105100	105110	105120	105130	15001	15032	500103	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
19	700019	3	1	0	0	1	2	3	1	0	-1	-1	30009	5	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105200	105210	105220	105230	15001	15032	500104	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
20	700020	1	2	1	0	1	2	3	1	0	-1	-1	30010	10	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105300	105310	105320	105330	15001	15032	500105	7	1.5	3	0.5	4	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
21	700021	1	3	0	0	1	2	3	1	0	-1	-1	30001	15	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	104900	104910	104920	104930	5201	5211	500101	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
22	700022	2	1	1	0	1	2	3	1	0	-1	-1	30002	5	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105000	105010	105020	105030	15001	15032	500102	7	1.5	3	0.5	7	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
23	700023	3	2	0	0	1	2	3	1	0	-1	-1	30003	10	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105100	105110	105120	105130	15001	15032	500103	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
24	700024	1	3	1	0	1	2	3	1	0	-1	-1	30004	15	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105200	105210	105220	105230	15001	15032	500104	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
25	700025	2	1	0	0	1	2	3	1	0	-1	-1	30005	5	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105300	105310	105320	105330	15001	15032	500105	7	1.5	3	0.5	4	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
26	700026	3	2	1	0	1	2	3	1	0	-1	-1	30006	10	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	104900	104910	104920	104930	5201	5211	500101	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
27	700027	1	3	0	0	1	2	3	1	0	-1	-1	30007	15	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105000	105010	105020	105030	15001	15032	500102	7	1.5	3	0.5	7	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
28	700028	2	1	1	0	1	2	3	1	0	-1	-1	30008	5	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105100	105110	105120	105130	15001	15032	500103	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
29	700029	3	2	0	0	1	2	3	1	0	-1	-1	30009	10	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105200	105210	105220	105230	15001	15032	500104	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
30	700030	1	3	1	0	1	2	3	1	0	-1	-1	30010	15	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105300	105310	105320	105330	15001	15032	500105	7	1.5	3	0.5	4	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
31	700031	1	1	0	0	1	2	3	1	0	-1	-1	30001	5	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	104900	104910	104920	104930	5201	5211	500101	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
32	700032	2	2	1	0	1	2	3	1	0	-1	-1	30002	10	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105000	105010	105020	105030	15001	15032	500102	7	1.5	3	0.5	7	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
33	700033	3	3	0	0	1	2	3	1	0	-1	-1	30003	15	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105100	105110	105120	105130	15001	15032	500103	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
34	700034	1	1	1	0	1	2	3	1	0	-1	-1	30004	5	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105200	105210	105220	105230	15001	15032	500104	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
35	700035	2	2	0	0	1	2	3	1	0	-1	-1	30005	10	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105300	105310	105320	105330	15001	15032	500105	7	1.5	3	0.5	4	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
36	700036	3	3	1	0	1	2	3	1	0	-1	-1	30006	15	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	104900	104910	104920	104930	5201	5211	500101	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
37	700037	1	1	0	0	1	2	3	1	0	-1	-1	30007	5	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105000	105010	105020	105030	15001	15032	500102	7	1.5	3	0.5	7	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
38	700038	2	2	1	0	1	2	3	1	0	-1	-1	30008	10	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105100	105110	105120	105130	15001	15032	500103	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
39	700039	3	3	0	0	1	2	3	1	0	-1	-1	30009	15	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105200	105210	105220	105230	15001	15032	500104	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
40	700040	1	1	1	0	1	2	3	1	0	-1	-1	30010	5	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105300	105310	105320	105330	15001	15032	500105	7	1.5	3	0.5	4	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
41	700041	1	2	0	0	1	2	3	1	0	-1	-1	30001	10	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	104900	104910	104920	104930	5201	5211	500101	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
42	700042	2	3	1	0	1	2	3	1	0	-1	-1	30002	15	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105000	105010	105020	105030	15001	15032	500102	7	1.5	3	0.5	7	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
43	700043	3	1	0	0	1	2	3	1	0	-1	-1	30003	5	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105100	105110	105120	105130	15001	15032	500103	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
44	700044	1	2	1	0	1	2	3	1	0	-1	-1	30004	10	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105200	105210	105220	105230	15001	15032	500104	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
45	700045	2	3	0	0	1	2	3	1	0	-1	-1	30005	15	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105300	105310	105320	105330	15001	15032	500105	7	1.5	3	0.5	4	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
46	700046	3	1	1	0	1	2	3	1	0	-1	-1	30006	5	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	104900	104910	104920	104930	5201	5211	500101	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
47	700047	1	2	0	0	1	2	3	1	0	-1	-1	30007	10	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105000	105010	105020	105030	15001	15032	500102	7	1.5	3	0.5	7	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
48	700048	2	3	1	0	1	2	3	1	0	-1	-1	30008	15	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105100	105110	105120	105130	15001	15032	500103	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
49	700049	3	3	0	0	1	2	3	1	0	-1	-1	30009	15	1	2	3	7	8	9	13	14	15	-1	-1	-1	-1	-1	-1	1	2	3	105200	105210	105220	105230	15001	15032	500104	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
50	700050	1	3	1	0	1	2	3	1	0	-1	-1	30010	15	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	105300	105310	105320	105330	15001	15032	500105	7	1.5	3	0.5	4	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
101	100007	1	1	0	0	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				15002	15010	15020	15030	15001	15032	500101	5	1.5	3	0.5	7	-1	0	0	SkillEffect/Common.xml	SkillEffect/101_SQ.xml
102	100008	1	1	0	0	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				15102	15104	15106	15107	15101	15110	500102	5	1.5	3	0.5	3	-1	0	0	SkillEffect/Common.xml	SkillEffect/102_DP.xml
103	100009	1	1	0	0	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				15201	15210	15220	15230	15200	15250	500103	5	1.5	2.5	0.5	0	-1	0	0	SkillEffect/Common.xml	SkillEffect/103_MQ.xml
104	100010	1	1	0	0	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				15302	15305	15307	15314	15301,15309	15318	500104	5	1.5	3	0.5	5	-1	104	0	SkillEffect/Common.xml	SkillEffect/104_FD.xml
107	100011	1	1	0	0	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				15601	15610	15620	15630	15600	15640	500107	5	1.5	2.5	0.5	16	-1	0	0	SkillEffect/Common.xml	SkillEffect/SkillEffcet01.xml
900	700002	2	1	1	0	1	2	3	1	0	-1	-1	-1	-1	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	94901	94904	94906	94907	5201	94911	500101	5	1.5	3	0.5	17	1	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1000	700002	2	1	1	0	1	2	3	1	0	-1	-1	-1	-1	4	5	6	10	11	12	16	17	18	-1	-1	-1	-1	-1	-1	4	5	6	104900	104910	104920	104930	5201	5211	500101	5	1.5	3	0.5	4	-1	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1001	100007	2	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	105000	105010	105020	105030	15001	15032	500102	7	1.5	3	0.5	7	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1002	100007	2	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	105100	105110	105120	105130	15001	15032	500103	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1003	100007	2	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	105200	105210	105220	105230	15001	15032	500104	7	1.5	3	0.5	7	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1004	100007	2	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	105300	105310	105320	105330	15001	15032	500105	7	1.5	3	0.5	4	9	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1006	100007	0	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	105500	105510	105520	105530	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1007	100007	1	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	105600	105610	105620	105630	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1008	100007	2	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	105700	105710	105720	105730	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1009	100007	0	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	105800	105810	105820	105830	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1010	100007	1	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	105900	105910	105920	105930	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1011	100007	2	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	106000	106010	106020	106030	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1012	100007	0	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	106100	106110	106120	106130	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1013	100007	1	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	106200	106210	106220	106230	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1014	100007	2	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	106300	106310	106320	106330	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1015	100007	0	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	106400	106410	106420	106430	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1016	100007	1	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	106500	106510	106520	106530	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
1017	100007	2	1	1	0	1	2	3	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	5	6	106600	106610	106620	106630	15001	15032	500102	7	1.5	3	0.5	0	0	0	0	SkillEffect/Common.xml	SkillEffect/Test_02.xml
