CardID	CapID	Attrs	SrcSkillID	NewSkillID
16	22	5		
16	23	6		
16	31	7		
16	32	8		
16	33	9		
16	41		10001	10002
16	42		10001	10002
16	43		10001	10002
16	51		10001	10002
16	52		10001	10002
16	53		10001	10002
17	11	1		
17	12	2		
17	13	3		
17	21	4		
17	22	5		
17	23	6		
17	31	7		
17	32	8		
17	33	9		
17	41		10001	10002
17	42		10001	10002
17	43		10001	10002
17	51		10001	10002
17	52		10001	10002
17	53		10001	10002
18	11	1		
18	12	2		
18	13	3		
18	21	4		
18	22	5		
18	23	6		
18	31	7		
18	32	8		
18	33	9		
18	41		10001	10002
18	42		10001	10002
18	43		10001	10002
18	51		10001	10002
18	52		10001	10002
18	53		10001	10002
19	11	1		
19	12	2		
19	13	3		
19	21	4		
19	22	5		
19	23	6		
19	31	7		
19	32	8		
19	33	9		
19	41		10001	10002
19	42		10001	10002
19	43		10001	10002
19	51		10001	10002
19	52		10001	10002
19	53		10001	10002
20	11	1		
20	12	2		
20	13	3		
20	21	4		
20	22	5		
20	23	6		
20	31	7		
20	32	8		
20	33	9		
20	41		10001	10002
20	42		10001	10002
20	43		10001	10002
20	51		10001	10002
20	52		10001	10002
20	53		10001	10002
21	11	1		
21	12	2		
21	13	3		
21	21	4		
21	22	5		
21	23	6		
21	31	7		
21	32	8		
21	33	9		
21	41		10001	10002
21	42		10001	10002
21	43		10001	10002
21	51		10001	10002
21	52		10001	10002
21	53		10001	10002
22	11	1		
22	12	2		
22	13	3		
22	21	4		
22	22	5		
22	23	6		
22	31	7		
22	32	8		
22	33	9		
22	41		10001	10002
22	42		10001	10002
22	43		10001	10002
22	51		10001	10002
22	52		10001	10002
22	53		10001	10002
23	11	1		
23	12	2		
23	13	3		
23	21	4		
23	22	5		
23	23	6		
23	31	7		
23	32	8		
23	33	9		
23	41		10001	10002
23	42		10001	10002
23	43		10001	10002
23	51		10001	10002
23	52		10001	10002
23	53		10001	10002
24	11	1		
24	12	2		
24	13	3		
24	21	4		
24	22	5		
24	23	6		
24	31	7		
24	32	8		
24	33	9		
24	41		10001	10002
24	42		10001	10002
24	43		10001	10002
24	51		10001	10002
24	52		10001	10002
24	53		10001	10002
25	11	1		
25	12	2		
25	13	3		
25	21	4		
25	22	5		
25	23	6		
25	31	7		
25	32	8		
25	33	9		
25	41		10001	10002
25	42		10001	10002
25	43		10001	10002
25	51		10001	10002
25	52		10001	10002
25	53		10001	10002
26	11	1		
26	12	2		
26	13	3		
26	21	4		
26	22	5		
26	23	6		
26	31	7		
26	32	8		
26	33	9		
26	41		10001	10002
26	42		10001	10002
26	43		10001	10002
26	51		10001	10002
26	52		10001	10002
26	53		10001	10002
27	11	1		
27	12	2		
27	13	3		
27	21	4		
27	22	5		
27	23	6		
27	31	7		
27	32	8		
27	33	9		
27	41		10001	10002
27	42		10001	10002
27	43		10001	10002
27	51		10001	10002
27	52		10001	10002
27	53		10001	10002
28	11	1		
28	12	2		
28	13	3		
28	21	4		
28	22	5		
28	23	6		
28	31	7		
28	32	8		
28	33	9		
28	41		10001	10002
28	42		10001	10002
28	43		10001	10002
28	51		10001	10002
28	52		10001	10002
28	53		10001	10002
29	11	1		
29	12	2		
29	13	3		
29	21	4		
29	22	5		
29	23	6		
29	31	7		
29	32	8		
29	33	9		
29	41		10001	10002
29	42		10001	10002
29	43		10001	10002
29	51		10001	10002
29	52		10001	10002
29	53		10001	10002
30	11	1		
30	12	2		
30	13	3		
30	21	4		
30	22	5		
30	23	6		
30	31	7		
30	32	8		
30	33	9		
30	41		10001	10002
30	42		10001	10002
30	43		10001	10002
30	51		10001	10002
30	52		10001	10002
30	53		10001	10002
31	11	1		
31	12	2		
31	13	3		
31	21	4		
31	22	5		
31	23	6		
31	31	7		
31	32	8		
31	33	9		
31	41		10001	10002
31	42		10001	10002
31	43		10001	10002
31	51		10001	10002
31	52		10001	10002
31	53		10001	10002
32	11	1		
32	12	2		
32	13	3		
32	21	4		
32	22	5		
32	23	6		
32	31	7		
32	32	8		
32	33	9		
32	41		10001	10002
32	42		10001	10002
32	43		10001	10002
32	51		10001	10002
32	52		10001	10002
32	53		10001	10002
33	11	1		
33	12	2		
33	13	3		
33	21	4		
33	22	5		
33	23	6		
33	31	7		
33	32	8		
33	33	9		
33	41		10001	10002
33	42		10001	10002
33	43		10001	10002
33	51		10001	10002
33	52		10001	10002
33	53		10001	10002
34	11	1		
34	12	2		
34	13	3		
34	21	4		
34	22	5		
34	23	6		
34	31	7		
34	32	8		
34	33	9		
34	41		10001	10002
34	42		10001	10002
34	43		10001	10002
34	51		10001	10002
34	52		10001	10002
34	53		10001	10002
35	11	1		
35	12	2		
35	13	3		
35	21	4		
35	22	5		
35	23	6		
35	31	7		
35	32	8		
35	33	9		
35	41		10001	10002
35	42		10001	10002
35	43		10001	10002
35	51		10001	10002
35	52		10001	10002
35	53		10001	10002
36	11	1		
36	12	2		
36	13	3		
36	21	4		
36	22	5		
36	23	6		
36	31	7		
36	32	8		
36	33	9		
36	41		10001	10002
36	42		10001	10002
36	43		10001	10002
36	51		10001	10002
36	52		10001	10002
36	53		10001	10002
37	11	1		
37	12	2		
37	13	3		
37	21	4		
37	22	5		
37	23	6		
37	31	7		
37	32	8		
37	33	9		
37	41		10001	10002
37	42		10001	10002
37	43		10001	10002
37	51		10001	10002
37	52		10001	10002
37	53		10001	10002
38	11	1		
38	12	2		
38	13	3		
38	21	4		
38	22	5		
38	23	6		
38	31	7		
38	32	8		
38	33	9		
38	41		10001	10002
38	42		10001	10002
38	43		10001	10002
38	51		10001	10002
38	52		10001	10002
38	53		10001	10002
39	11	1		
39	12	2		
39	13	3		
39	21	4		
39	22	5		
39	23	6		
39	31	7		
39	32	8		
39	33	9		
39	41		10001	10002
39	42		10001	10002
39	43		10001	10002
39	51		10001	10002
39	52		10001	10002
39	53		10001	10002
40	11	1		
40	12	2		
40	13	3		
40	21	4		
40	22	5		
40	23	6		
40	31	7		
40	32	8		
40	33	9		
40	41		10001	10002
40	42		10001	10002
40	43		10001	10002
40	51		10001	10002
40	52		10001	10002
40	53		10001	10002
41	11	1		
41	12	2		
41	13	3		
41	21	4		
41	22	5		
41	23	6		
41	31	7		
41	32	8		
41	33	9		
41	41		10001	10002
41	42		10001	10002
41	43		10001	10002
41	51		10001	10002
41	52		10001	10002
41	53		10001	10002
42	11	1		
42	12	2		
42	13	3		
42	21	4		
42	22	5		
42	23	6		
42	31	7		
42	32	8		
42	33	9		
42	41		10001	10002
42	42		10001	10002
42	43		10001	10002
42	51		10001	10002
42	52		10001	10002
42	53		10001	10002
43	11	1		
43	12	2		
43	13	3		
43	21	4		
43	22	5		
43	23	6		
43	31	7		
43	32	8		
43	33	9		
43	41		10001	10002
43	42		10001	10002
43	43		10001	10002
43	51		10001	10002
43	52		10001	10002
43	53		10001	10002
44	11	1		
44	12	2		
44	13	3		
44	21	4		
44	22	5		
44	23	6		
44	31	7		
44	32	8		
44	33	9		
44	41		10001	10002
44	42		10001	10002
44	43		10001	10002
44	51		10001	10002
44	52		10001	10002
44	53		10001	10002
45	11	1		
45	12	2		
45	13	3		
45	21	4		
45	22	5		
45	23	6		
45	31	7		
45	32	8		
45	33	9		
45	41		10001	10002
45	42		10001	10002
45	43		10001	10002
45	51		10001	10002
45	52		10001	10002
45	53		10001	10002
46	11	1		
46	12	2		
46	13	3		
46	21	4		
46	22	5		
46	23	6		
46	31	7		
46	32	8		
46	33	9		
46	41		10001	10002
46	42		10001	10002
46	43		10001	10002
46	51		10001	10002
46	52		10001	10002
46	53		10001	10002
47	11	1		
47	12	2		
47	13	3		
47	21	4		
47	22	5		
47	23	6		
47	31	7		
47	32	8		
47	33	9		
47	41		10001	10002
47	42		10001	10002
47	43		10001	10002
47	51		10001	10002
47	52		10001	10002
47	53		10001	10002
48	11	1		
48	12	2		
48	13	3		
48	21	4		
48	22	5		
48	23	6		
48	31	7		
48	32	8		
48	33	9		
48	41		10001	10002
48	42		10001	10002
48	43		10001	10002
48	51		10001	10002
48	52		10001	10002
48	53		10001	10002
49	11	1		
49	12	2		
49	13	3		
49	21	4		
49	22	5		
49	23	6		
49	31	7		
49	32	8		
49	33	9		
49	41		10001	10002
49	42		10001	10002
49	43		10001	10002
49	51		10001	10002
49	52		10001	10002
49	53		10001	10002
50	11	1		
50	12	2		
50	13	3		
50	21	4		
50	22	5		
50	23	6		
50	31	7		
50	32	8		
50	33	9		
50	41		10001	10002
50	42		10001	10002
50	43		10001	10002
50	51		10001	10002
50	52		10001	10002
50	53		10001	10002
