effectid	bindbone	controlType	particle	scale	lifetime	sound	type	dir	needpreload
5002	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0001.prefab	1	-1	0	2	0	1
5003	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0002_start.prefab	1	-1	0	2	0	1
5004	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0002_loop.prefab	1	-1	0	2	0	1
5005	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0002_end.prefab	1	-1	0	2	0	1
5006	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0003.prefab	1	-1	0	2	0	1
5007	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0001_a.prefab	1	-1	0	2	0	1
5008	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0002_a.prefab	1	-1	0	2	0	1
5009	-1	0	Effects/Particle/Common/BUFF_WFY_041.prefab	1	-1	0	2	0	1
5010	-1	0	Effects/Particle/Player/BS_01/EFF_skill_bs_single_n_0002_loop.prefab	1	-1	0	2	0	1
5011	-1	0	Effects/Particle/Common/BUFF_huifu_02.prefab	1	-1	0	2	0	1
5012	-1	0	Effects/Particle/Player/FD_01/EFF_skill_fd_BUFF_01.prefab	1	-1	0	2	0	1
5013	-1	0	Effects/Particle/Common/BUFF_jiansu_01.prefab	1	-1	0	2	0	1
5014	-1	0	Effects/Particle/Player/DP_02/EFF_dp2_miansi.prefab	1	-1	0	2	0	1
5015	-1	0	Effects/Particle/Player/DP_02/EFF_dp2_miansi_shouji.prefab	1	-1	0	2	0	1
5016	-1	0	Effects/Particle/Player/DP_02/EFF_dp2_fangyu.prefab	1	-1	0	2	0	1
6001	-1	0	Effects/Particle/Common/GUN_Flash_01.prefab	1	-1	0	2	0	1
6002	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0001.prefab	1	-1	0	2	0	1
6003	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0003.prefab	1	-1	0	2	0	1
6004	-1	0	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0002_b.prefab	1	-1	0	2	0	1
6005	-1	0	Effects/Particle/Player/SQ_01/EFF_atk_sq_both_y_0001.prefab	1	-1	0	2	0	1
6006	-1	0	Effects/Particle/Common/GUN_Flash_071.prefab	1	-1	0	2	0	1
6007	-1	0	Effects/Particle/Common/GUN_Flash_072.prefab	1	-1	0	2	0	1
6008	-1	0	Effects/Particle/Common/GUN_Flash_041.prefab	1	-1	0	2	0	1
6009	-1	0	Effects/Particle/Common/GUN_Flash_042.prefab	1	-1	0	2	0	1
6010	-1	0	Effects/Particle/Common/SQ_flash_01.prefab	1	-1	0	2	0	1
6011	-1	0	Effects/Particle/Common/SQ_flash_02.prefab	1	-1	0	2	0	1
6012	-1	0	Effects/Particle/Player/XDQ_01/EFF_xdq_daodan_qiangkou.prefab	1	-1	0	2	0	1
7001	-1	0	Effects/Particle/Player/FD_01/EFF_skill_fd_SYCX.prefab	1	-1	0	2	0	1
7002	-1	0	Effects/Particle/Player/FD_01/EFF_skill_fd_SYXS.prefab	1	-1	0	2	0	1
7005	-1	0	Effects/Wall.prefab	1	-1	0	2	0	1
7006	-1	0	Prefabs/Monster/Boss/Effect_skill_bq_both_n_0001.prefab	1	-1	0	2	0	1
7007	-1	0	Effects/Particle/Player/DP_01/skill_dp_both_j_0002_start_tu.prefab	1	-1	0	2	0	1
8000	-1	0	Effects/Particle/Common/Eff_screen_02.prefab	1.25	-1	0	2	0	1
8099	-1	0	Effects/Particle/Common/Eff_screen_01.prefab	1	-1	0	2	0	1
10001	-1	0	Effects/Particle/Common/yujing_fang.prefab	1	-1	0	2	0	1
10002	-1	0	Effects/Particle/Common/yujing_shan.prefab	1	-1	0	2	0	1
10003	-1	0	Effects/Particle/Common/yujing_yuan.prefab	1	-1	0	2	0	1
