CDGroup	CDAttr	CDTime	CDCount	CDCommon	BuffID	BuffLayer
500003	0	10000	0	0	0	0
500004	0	10000	0	0	0	0
500005	0	10000	0	0	0	0
500006	0	10000	0	0	0	0
500007	0	10000	0	0	0	0
500008	0	10000	0	0	0	0
500009	0	10000	0	0	0	0
500010	0	10000	0	0	0	0
500011	0	10000	0	0	0	0
500012	0	10000	0	0	0	0
500013	0	10000	0	0	0	0
500014	0	10000	0	0	0	0
500015	0	10000	0	0	0	0
500016	0	10000	0	0	0	0
500017	0	10000	0	0	0	0
500018	0	10000	0	0	0	0
500019	0	10000	0	0	0	0
500020	0	10000	0	0	0	0
500021	0	10000	0	0	0	0
500022	0	10000	0	0	0	0
500023	0	10000	0	0	0	0
500024	0	10000	0	0	0	0
500025	0	10000	0	0	0	0
500026	0	10000	0	0	0	0
500027	0	10000	0	0	0	0
500028	0	10000	0	0	0	0
500029	0	10000	0	0	0	0
500030	0	10000	0	0	0	0
500031	0	10000	0	0	0	0
500032	0	10000	0	0	0	0
500033	0	10000	0	0	0	0
500034	0	10000	0	0	0	0
500035	0	10000	0	0	0	0
500036	0	10000	0	0	0	0
500037	0	10000	0	0	0	0
500038	0	10000	0	0	0	0
500039	0	10000	0	0	0	0
500040	0	10000	0	0	0	0
500041	0	10000	0	0	0	0
500042	0	10000	0	0	0	0
500043	0	10000	0	0	0	0
500044	0	10000	0	0	0	0
500045	0	10000	0	0	0	0
500046	0	10000	0	0	0	0
500047	0	10000	0	0	0	0
500048	0	10000	0	0	0	0
500049	0	10000	0	0	0	0
500050	0	10000	0	0	0	0
500051	0	10000	0	0	0	0
500052	0	10000	0	0	0	0
500053	0	10000	0	0	0	0
500054	0	10000	0	0	0	0
500055	0	10000	0	0	0	0
500056	0	10000	0	0	0	0
500057	0	10000	0	0	0	0
500058	0	10000	0	0	0	0
500059	0	10000	0	0	0	0
500060	0	10000	0	0	0	0
500061	0	10000	0	0	0	0
500062	0	10000	0	0	0	0
500063	0	10000	0	0	0	0
500064	0	10000	0	0	0	0
500065	0	10000	0	0	0	0
500066	0	10000	0	0	0	0
500067	0	10000	0	0	0	0
500068	0	10000	0	0	0	0
500069	0	10000	0	0	0	0
500070	0	10000	0	0	0	0
500071	0	10000	0	0	0	0
500072	0	10000	0	0	0	0
500073	0	10000	0	0	0	0
500074	0	10000	0	0	0	0
500075	0	10000	0	0	0	0
500076	0	10000	0	0	0	0
500077	0	10000	0	0	0	0
500078	0	10000	0	0	0	0
500079	0	10000	0	0	0	0
500080	0	10000	0	0	0	0
500081	0	10000	0	0	0	0
500082	0	10000	0	0	0	0
500083	0	10000	0	0	0	0
500084	0	10000	0	0	0	0
500085	0	10000	0	0	0	0
500086	0	10000	0	0	0	0
500087	0	10000	0	0	0	0
500088	0	10000	0	0	0	0
500089	0	10000	0	0	0	0
500090	0	10000	0	0	0	0
500091	0	10000	0	0	0	0
500092	0	10000	0	0	0	0
500093	0	10000	0	0	0	0
500094	0	10000	0	0	0	0
500095	0	10000	0	0	0	0
500096	0	10000	0	0	0	0
500097	0	10000	0	0	0	0
500098	0	10000	0	0	0	0
500099	0	10000	0	0	0	0
500100	0	10000	0	0	0	0
500101	0	10000	0	0	0	0
500102	0	10000	0	0	0	0
500103	0	10000	0	0	0	0
500104	0	10000	0	0	0	0
500105	0	10000	0	0	0	0
500106	0	10000	0	0	0	0
500107	0	10000	0	0	0	0
500108	0	10000	0	0	0	0
500109	0	10000	0	0	0	0
500110	0	10000	0	0	0	0
500111	0	10000	0	0	0	0
500112	0	10000	0	0	0	0
500113	0	10000	0	0	0	0
500114	0	10000	0	0	0	0
500115	0	10000	0	0	0	0
500116	0	10000	0	0	0	0
500117	0	10000	0	0	0	0
500118	0	10000	0	0	0	0
500119	0	10000	0	0	0	0
500120	0	10000	0	0	0	0
500121	0	10000	0	0	0	0
500122	0	10000	0	0	0	0
500123	0	10000	0	0	0	0
500124	0	10000	0	0	0	0
500125	0	10000	0	0	0	0
500126	0	10000	0	0	0	0
500127	0	10000	0	0	0	0
500128	0	10000	0	0	0	0
500129	0	10000	0	0	0	0
500130	0	10000	0	0	0	0
500131	0	10000	0	0	0	0
500132	0	10000	0	0	0	0
500133	0	10000	0	0	0	0
500134	0	10000	0	0	0	0
500135	0	10000	0	0	0	0
500136	0	10000	0	0	0	0
500137	0	10000	0	0	0	0
500138	0	10000	0	0	0	0
500139	0	10000	0	0	0	0
500140	0	10000	0	0	0	0
500141	0	10000	0	0	0	0
500142	0	10000	0	0	0	0
500143	0	10000	0	0	0	0
500144	0	10000	0	0	0	0
500145	0	10000	0	0	0	0
500146	0	10000	0	0	0	0
500147	0	10000	0	0	0	0
500148	0	10000	0	0	0	0
500149	0	10000	0	0	0	0
500150	0	10000	0	0	0	0
500151	0	10000	0	0	0	0
500152	0	10000	0	0	0	0
500153	0	10000	0	0	0	0
500154	0	10000	0	0	0	0
500155	0	10000	0	0	0	0
500156	0	10000	0	0	0	0
500157	0	10000	0	0	0	0
500158	0	10000	0	0	0	0
500159	0	10000	0	0	0	0
500160	0	10000	0	0	0	0
500161	0	10000	0	0	0	0
500162	0	10000	0	0	0	0
500163	0	10000	0	0	0	0
500164	0	10000	0	0	0	0
500165	0	10000	0	0	0	0
500166	0	10000	0	0	0	0
500167	0	10000	0	0	0	0
500168	0	10000	0	0	0	0
500169	0	10000	0	0	0	0
500170	0	10000	0	0	0	0
500171	0	10000	0	0	0	0
500172	0	10000	0	0	0	0
500173	0	10000	0	0	0	0
500174	0	10000	0	0	0	0
500175	0	10000	0	0	0	0
500176	0	10000	0	0	0	0
500177	0	10000	0	0	0	0
500178	0	10000	0	0	0	0
500179	0	10000	0	0	0	0
500180	0	10000	0	0	0	0
500181	0	10000	0	0	0	0
500182	0	10000	0	0	0	0
500183	0	10000	0	0	0	0
500184	0	10000	0	0	0	0
500185	0	10000	0	0	0	0
500186	0	10000	0	0	0	0
500187	0	10000	0	0	0	0
500188	0	10000	0	0	0	0
500189	0	10000	0	0	0	0
500190	0	10000	0	0	0	0
500191	0	10000	0	0	0	0
500192	0	10000	0	0	0	0
500193	0	10000	0	0	0	0
500194	0	10000	0	0	0	0
500195	0	10000	0	0	0	0
500196	0	10000	0	0	0	0
500197	0	10000	0	0	0	0
500198	0	10000	0	0	0	0
500199	0	10000	0	0	0	0
500200	0	10000	0	0	0	0
500201	0	10000	0	0	0	0
500202	0	10000	0	0	0	0
500203	0	10000	0	0	0	0
500204	0	10000	0	0	0	0
500205	0	10000	0	0	0	0
500206	0	10000	0	0	0	0
500207	0	10000	0	0	0	0
500208	0	10000	0	0	0	0
500209	0	10000	0	0	0	0
500210	0	10000	0	0	0	0
500211	0	10000	0	0	0	0
500212	0	10000	0	0	0	0
500213	0	10000	0	0	0	0
500214	0	10000	0	0	0	0
500215	0	10000	0	0	0	0
500216	0	10000	0	0	0	0
500217	0	10000	0	0	0	0
500218	0	10000	0	0	0	0
500219	0	10000	0	0	0	0
500220	0	10000	0	0	0	0
500221	0	10000	0	0	0	0
500222	0	10000	0	0	0	0
500223	0	10000	0	0	0	0
500224	0	10000	0	0	0	0
500225	0	10000	0	0	0	0
500226	0	10000	0	0	0	0
500227	0	10000	0	0	0	0
500228	0	10000	0	0	0	0
500229	0	10000	0	0	0	0
500230	0	10000	0	0	0	0
500231	0	10000	0	0	0	0
500232	0	10000	0	0	0	0
500233	0	10000	0	0	0	0
500234	0	10000	0	0	0	0
500235	0	10000	0	0	0	0
500236	0	10000	0	0	0	0
500237	0	10000	0	0	0	0
500238	0	10000	0	0	0	0
500239	0	10000	0	0	0	0
500240	0	10000	0	0	0	0
500241	0	10000	0	0	0	0
500242	0	10000	0	0	0	0
500243	0	10000	0	0	0	0
500244	0	10000	0	0	0	0
500245	0	10000	0	0	0	0
500246	0	10000	0	0	0	0
500247	0	10000	0	0	0	0
500248	0	10000	0	0	0	0
500249	0	10000	0	0	0	0
500250	0	10000	0	0	0	0
500251	0	10000	0	0	0	0
500252	0	10000	0	0	0	0
500253	0	10000	0	0	0	0
500254	0	10000	0	0	0	0
500255	0	10000	0	0	0	0
500256	0	10000	0	0	0	0
500257	0	10000	0	0	0	0
500258	0	10000	0	0	0	0
500259	0	10000	0	0	0	0
500260	0	10000	0	0	0	0
500261	0	10000	0	0	0	0
500262	0	10000	0	0	0	0
500263	0	10000	0	0	0	0
500264	0	10000	0	0	0	0
500265	0	10000	0	0	0	0
500266	0	10000	0	0	0	0
500267	0	10000	0	0	0	0
500268	0	10000	0	0	0	0
500269	0	10000	0	0	0	0
500270	0	10000	0	0	0	0
500271	0	10000	0	0	0	0
500272	0	10000	0	0	0	0
500273	0	10000	0	0	0	0
500274	0	10000	0	0	0	0
500275	0	10000	0	0	0	0
500276	0	10000	0	0	0	0
500277	0	10000	0	0	0	0
500278	0	10000	0	0	0	0
500279	0	10000	0	0	0	0
500280	0	10000	0	0	0	0
500281	0	10000	0	0	0	0
500282	0	10000	0	0	0	0
500283	0	10000	0	0	0	0
500284	0	10000	0	0	0	0
500285	0	10000	0	0	0	0
500286	0	10000	0	0	0	0
500287	0	10000	0	0	0	0
500288	0	10000	0	0	0	0
500289	0	10000	0	0	0	0
500290	0	10000	0	0	0	0
500291	0	10000	0	0	0	0
500292	0	10000	0	0	0	0
500293	0	10000	0	0	0	0
500294	0	10000	0	0	0	0
500295	0	10000	0	0	0	0
500296	0	10000	0	0	0	0
500297	0	10000	0	0	0	0
500298	0	10000	0	0	0	0
500299	0	10000	0	0	0	0
500300	0	10000	0	0	0	0
