SkillID	SkillNameID	MSV_SrcCheck	MSV_TarCheck	MSV_SkillType	MSV_SkillAttr	MSV_BaseSkillID	MSV_TriggerType	MSV_TriggerCheck	MSV_TriggerNotify	MSV_TriggerDataID	MSV_TriggerValue	MSV_TriggerProbability	MSV_SpellLogic	MSV_SpellParam1	MSV_SpellParam2	MSV_SpellParam3	MSV_CastType	MSV_TarType	MSV_Range	MSV_SlipDis	MSV_DodgeTime	MSV_LockTime	MSV_LastTime	MSV_CDGroup	MSV_CDTime	MSV_CostType1	MSV_CostValue1	MSV_CostType2	MSV_CostValue2	MSV_LauncherLogic	MSV_LauncherParam1	MSV_LauncherParam2	MSV_LauncherParam3	MSV_ProjectileLogic	MSV_ProjectileTime	MSV_ProjectileSpeed	MSV_ProjectileEffectTime	MSV_ProjectileEffectCount	MSV_ProjectileParam1	MSV_ProjectileParam2	MSV_ProjectileParam3	MSV_ProjectileEffectID	MSV_ProjectileDieEffectID	MSV_ProjectileTimeOutEffectID	MSV_ProjectileFly1EffectID	MSV_ProjectileFly2EffectID	MSV_AreaLogic	MSV_AreaTarCheck	MSV_AreaFilter	MSV_AreaTarCnt	MSV_AreaParam1	MSV_AreaParam2	MSV_AreaParam3	MSV_EffectDelayTime	MSV_EffectTime	MSV_EffectCount	MSV_EffectType	MSV_EffectLogic	MSV_EffectParam1	MSV_EffectParam2	MSV_EffectParam3	MSV_EffectCalculation	MSV_EffectTransform	MSV_EffectBeatBack	MSV_BeaBackSrcCond	MSV_BeatBackTarCond	MSV_BeatBackType	MSV_BeatBackDir	MSV_BeatBackOffsetDis	MSV_BeatBackFixedDis	MSV_BeatBackMoveTime	MSV_BeatBackLifeTime	MSV_SkillDis	MSV_SkillMoveDir	MSV_SkillMoveStartTime	MSV_SkillMoveEndTime	MSV_AnimID	MSV_WeaponID	MSV_CombatPerformanceID	MSV_CombatPerformanceTimes	MSV_EndureLevel	MSV_CombatWarningID
5111	505110	102	0	2	524288	0	0	0	0	0	0	0	10001	0	0	0	0	1	10	0	0	1367	1667	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	4	100	0	0	0	300	1	512	4	5112	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100206	9	200	1	3	0
5112	505112	0	0	12	0	5108	2	2050	2	5108	0	1000	30001	-1	-1	-1	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	3	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5201	505201	0	0	4	0	0	0	0	0	0	0	0	20003	-1	-1	-1	0	1	0	0	0	500	1000	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	100	30	0	250	1	512	0	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5202	505202	102	0	2	589824	0	0	0	0	0	0	0	10001	-1	-1	-1	0	3	10	0	0	400	1000	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	0	0	0	250	1	1	1	0	0	0	126	0	0	0	0	0	3	0	0	500	500	0	0	0	0	100201	4	100	3	1	0
5203	505203	102	0	2	528384	0	0	0	0	0	0	0	10001	-1	-1	-1	0	4	20	0	0	500	1000	5203	0	0	0	0	0	2	33	0	0	4	1000	15	0	0	0	300	200	4001	0	0	0	0	1	6	0	0	0	0	0	0	200	1	0	0	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100302	13	3001	1	2	0
5204	505204	0	0	12	9728	5206	11	2050	4	5203	0	1000	30001	0	0	0	0	4	0	0	0	0	0	-1	0	0	0	0	0	2	0	0	0	3	300	0	200	3	0	0	0	2003	0	0	0	0	2	6	0	3	50	0	45	0	0	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3001	1	2	0
5205	505205	0	0	12	9732	5206	11	2050	4	5203	0	1000	30001	0	0	0	0	4	0	0	0	0	0	-1	0	0	0	0	0	2	0	0	0	3	300	0	200	5	0	0	0	2003	0	0	0	0	2	5	0	5	50	0	45	0	0	1	2	2	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5206	505206	0	0	12	9732	5206	11	2050	4	5203	0	1000	30001	0	0	0	0	4	0	0	0	0	0	-1	0	0	0	0	0	2	0	0	0	3	5000	0	500	15	0	0	0	5001	0	0	0	0	2	5	0	5	50	0	45	0	0	1	2	2	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5207	505207	102	0	2	533508	0	0	0	0	0	0	0	10001	-1	-1	-1	0	1	20	0	0	700	1000	5206	0	0	0	0	0	2	0	0	0	3	400	0	300	1	1	300	200	5006	0	0	0	0	2	5	1	1	50	0	45	0	800	1	2	2	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100105	0	3002	1	2	0
5208	505208	102	0	2	524292	5207	0	0	0	0	0	0	10001	-1	-1	-1	1	1	20	0	0	700	1000	5207	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	3	50	0	45	0	880	1	514	4	5208	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100105	0	-1	0	2	0
5209	505209	102	0	2	2097152	0	0	0	0	0	0	0	10001	-1	-1	-1	0	1	0	0	0	2700	3000	5209	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2500	1	528	4	5209	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100304	0	-1	0	10	0
5210	505210	0	0	16	4	0	0	0	0	0	0	0	20001	-1	-1	-1	0	1	20	0	0	0	15000	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3000	5	2	2	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5211	505211	102	0	2	524288	0	0	0	0	0	0	0	10001	0	0	0	0	1	10	0	0	1300	1600	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	4	100	0	0	0	300	1	512	4	5210	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100305	13	200	1	3	0
5401	505401	0	0	12	0	0	3	1044	0	1	0	100	30001	-1	-1	-1	0	1	0	0	0	0	0	5401	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	512	13	5	1	-1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5402	505402	102	0	2	524288	0	0	0	0	0	0	0	10001	-1	-1	-1	0	1	0	0	0	400	700	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0.5685	0	0	0	100510	17	1001	1	3	0
5403	505403	102	0	2	655360	0	0	0	0	0	0	0	10001	-1	-1	-1	0	8	4	0	0	433	433	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	40	60	0	100	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	1.00667	0	0	0	100501	17	1001	1	1	0
5404	505404	102	0	2	655360	5403	0	0	0	0	0	0	10001	-1	-1	-1	0	8	4	0	0	533	533	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	40	60	0	100	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0.7047	0	0	0	100502	17	1001	1	1	0
5405	505405	102	0	2	655360	5403	0	0	0	0	0	0	10001	-1	-1	-1	0	8	4	0	0	1900	1900	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	40	60	0	300	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0.80081	0	0	0	100503	17	1001	1	1	0
5406	505406	102	0	2	655360	0	0	0	0	0	0	0	10001	-1	-1	-1	0	8	4	0	0	1250	2533	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	40	60	0	300	4	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0.94511	0	0	0	100507	17	1001	1	1	0
5407	505407	102	0	2	655360	0	0	0	0	0	0	0	10001	-1	-1	-1	0	8	4	0	0	1782	3433	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	40	60	0	750	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	2.08212	0	0	0	100508	17	1001	1	1	0
5408	505408	102	0	2	655616	0	0	0	0	0	0	0	10001	-1	-1	-1	0	8	4	0	0	1333	2333	5408	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	40	60	0	500	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	6.4684	0	0	0	100509	17	1001	1	2	0
5409	505409	0	0	12	0	5409	3	2050	1	5408	0	1000	30001	0	0	0	0	4	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	40	60	0	0	1	1	4	5409	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5410	505410	0	0	12	0	5409	3	2050	1	5408	0	1000	30001	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	13	5	1	-1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5411	505411	102	0	2	524288	0	0	0	0	0	0	0	10001	-1	-1	-1	0	1	5	0	0	0	0	5411	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	4	50	0	0	800	300	5	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100511	17	1001	1	2	0
5412	505412	0	0	12	0	5411	1	2050	1	5411	0	1000	30001	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	512	13	5	3	-1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5413	505413	102	0	2	524288	0	0	0	0	0	0	0	10001	-1	-1	-1	0	1	5	0	0	0	0	5413	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	4	50	0	0	800	300	5	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100511	17	1001	1	2	0
5414	505414	0	0	12	0	5413	1	2050	1	5413	0	1000	30001	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	512	4	5414	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5415	505415	102	0	2	2228224	0	0	0	0	0	0	0	10001	-1	-1	-1	0	8	6	0	0	300	300	5415	0	3	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	60	120	0	200	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	-1	0	0	0.74209	0	0	0	100504	17	1001	1	10	0
5416	505416	102	0	2	2228224	5415	0	0	0	0	0	0	10001	-1	-1	-1	0	8	6	0	0	667	667	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	60	120	0	200	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	-1	0	0	0.18258	0	0	0	100505	17	1001	1	10	0
5417	505417	102	0	2	2228224	5415	0	0	0	0	0	0	10001	-1	-1	-1	0	8	6	0	0	2933	3233	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	60	120	0	200	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	-1	0	0	1.60436	0	0	0	100506	17	1001	1	10	0
5418	505418	0	0	28	0	0	0	0	0	0	0	0	30001	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3000	5	512	13	5	1	-1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5501	505501	11	0	12	0	0	7	1024	13	0	0	1000	30001	-1	-1	-1	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	8192	2	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5502	505502	102	0	2	524288	0	0	0	0	0	0	0	10001	-1	-1	-1	0	1	0	0	0	400	700	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100605	18	1001	1	3	0
5503	505503	102	0	2	524288	0	0	0	0	0	0	0	10001	-1	-1	-1	0	8	4	0	0	600	800	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	2	1	40	10	0	100	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0.76932	0	0	0	100601	18	1001	1	1	0
5504	505504	102	0	2	524288	5503	0	0	0	0	0	0	10001	-1	-1	-1	0	8	4	0	0	600	800	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	2	1	40	10	0	100	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0.15531	0	0	0	100602	18	1001	1	1	0
5505	505505	102	0	2	524288	5503	0	0	0	0	0	0	10001	-1	-1	-1	0	8	4	0	0	1400	1600	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	2	1	40	10	0	100	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100603	18	1001	1	1	0
5506	505506	102	0	2	524288	5503	0	0	0	0	0	0	10001	-1	-1	-1	0	8	4	0	0	1100	1300	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	2	1	40	10	0	100	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100604	18	1001	1	1	0
5507	505507	102	0	2	524544	0	0	0	0	0	0	0	10001	-1	-1	-1	0	8	6	0	0	2200	2400	5507	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	60	120	450	150	6	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100606	18	6001	1	1	0
5508	505508	0	0	12	0	5507	1	2050	1	5507	0	1000	30001	-1	-1	-1	0	2	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	4	1	60	120	0	0	1	1024	4	5508	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	-1	0	1	0
5509	505509	0	0	12	0	5507	1	2050	1	5507	0	1000	30001	-1	-1	-1	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	514	15	0	0	0	126	5509	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	-1	0	1	0
5510	505510	102	0	2	2098176	0	0	0	0	0	0	0	10001	-1	-1	-1	0	2	10	0	0	2250	2700	5510	0	0	0	0	0	2	0	0	0	1	3000	6	0	1	0	0	0	4014	0	0	0	0	1	0	0	0	0	0	0	0	0	1	514	15	0	0	0	126	5510	-1	0	0	0	0	0	0	0	0	0	0	0	0	100608	18	1001	1	1	0
5511	505511	102	0	2	2097408	0	0	0	0	0	0	0	10001	-1	-1	-1	0	1	0	0	0	1480	1800	5511	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	810	1	514	15	0	0	0	126	5511	-1	0	0	0	0	0	0	0	0	0	0	0	0	100607	18	1001	1	1	0
5512	505512	0	0	12	0	5501	1	2050	1	5501	0	1000	30001	-1	-1	-1	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1024	4	5512	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	-1	0	1	0
5513	505513	0	0	12	0	5511	1	2050	1	5511	0	1000	30001	-1	-1	-1	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	512	4	5513	1	1	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	-1	0	1	0
5601	505601	0	0	4	0	0	13	1024	0	0	0	0	20003	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	512	0	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0
5602	505602	102	0	2	589824	0	0	0	0	0	0	0	10001	0	0	0	0	3	15	0	0	1221	2433	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	1	0	0	0	0	0	1	1	1	0	0	0	126	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	100201	13	100	3	1	0
