itemid	reqlevel	suitid	exattrgroupid	attributegroupid	colorindex	modelid	modelid_F	durabilitymax	lingqi	speedpercent	fixtemplateid
101110	1	-1	-1	-1	1	2101	-1	-1	0	1	0
101111	1	-1	-1	-1	1	2102	-1	-1	0	1	0
101112	1	-1	-1	-1	1	2103	-1	-1	0	1	0
101113	1	-1	-1	-1	1	2104	-1	-1	0	1	0
101114	1	-1	-1	-1	1	2105	-1	-1	0	1	0
101115	1	-1	-1	-1	1	2106	-1	-1	0	1	0
101116	1	-1	-1	-1	1	2107	-1	-1	0	1	0
101117	1	-1	-1	-1	2	2100	-1	-1	0	1	0
101118	1	-1	-1	-1	2	2101	-1	-1	0	1	0
101119	1	-1	-1	-1	2	2102	-1	-1	0	1	0
101120	1	-1	-1	-1	2	2103	-1	-1	0	1	0
101121	1	-1	-1	-1	2	2104	-1	-1	0	1	0
101122	1	-1	-1	-1	2	2105	-1	-1	0	1	0
101123	1	-1	-1	-1	2	2106	-1	-1	0	1	0
101124	1	-1	-1	-1	2	2107	-1	-1	0	1	0
101125	1	-1	-1	-1	3	2100	-1	-1	0	1	0
101126	1	-1	-1	-1	3	2101	-1	-1	0	1	0
101127	1	-1	-1	-1	3	2102	-1	-1	0	1	0
101128	1	-1	-1	-1	3	2103	-1	-1	0	1	0
101129	1	-1	-1	-1	3	2104	-1	-1	0	1	0
101130	1	-1	-1	-1	3	2105	-1	-1	0	1	0
101131	1	-1	-1	-1	3	2106	-1	-1	0	1	0
101132	1	-1	-1	-1	3	2107	-1	-1	0	1	0
101133	1	-1	-1	-1	4	2100	-1	-1	0	1	0
101134	1	-1	-1	-1	4	2101	-1	-1	0	1	0
101135	1	-1	-1	-1	4	2102	-1	-1	0	1	0
101136	1	-1	-1	-1	4	2103	-1	-1	0	1	0
101137	1	-1	-1	-1	4	2104	-1	-1	0	1	0
101138	1	-1	-1	-1	4	2105	-1	-1	0	1	0
101139	1	-1	-1	-1	4	2106	-1	-1	0	1	0
101140	1	-1	-1	-1	4	2107	-1	-1	0	1	0
101141	1	-1	-1	-1	5	2100	-1	-1	0	1	0
101142	1	-1	-1	-1	5	2101	-1	-1	0	1	0
101143	1	-1	-1	-1	5	2102	-1	-1	0	1	0
101144	1	-1	-1	-1	5	2103	-1	-1	0	1	0
101145	1	-1	-1	-1	5	2104	-1	-1	0	1	0
101146	1	-1	-1	-1	5	2105	-1	-1	0	1	0
101147	1	-1	-1	-1	5	2106	-1	-1	0	1	0
101148	1	-1	-1	-1	5	2107	-1	-1	0	1	0
101181	1	-1	-1	-1	0	-1	2200	-1	0	1	0
101182	1	-1	-1	-1	0	-1	2201	-1	0	1	0
101183	1	-1	-1	-1	0	-1	2202	-1	0	1	0
101184	1	-1	-1	-1	0	-1	2203	-1	0	1	0
101185	1	-1	-1	-1	0	-1	2204	-1	0	1	0
101186	1	-1	-1	-1	0	-1	2205	-1	0	1	0
101187	1	-1	-1	-1	0	-1	2206	-1	0	1	0
101188	1	-1	-1	-1	0	-1	2207	-1	0	1	0
101189	1	-1	-1	-1	1	-1	2200	-1	0	1	0
101190	1	-1	-1	-1	1	-1	2201	-1	0	1	0
101191	1	-1	-1	-1	1	-1	2202	-1	0	1	0
101192	1	-1	-1	-1	1	-1	2203	-1	0	1	0
101193	1	-1	-1	-1	1	-1	2204	-1	0	1	0
101194	1	-1	-1	-1	1	-1	2205	-1	0	1	0
101195	1	-1	-1	-1	1	-1	2206	-1	0	1	0
101196	1	-1	-1	-1	1	-1	2207	-1	0	1	0
101197	1	-1	-1	-1	2	-1	2200	-1	0	1	0
101198	1	-1	-1	-1	2	-1	2201	-1	0	1	0
101199	1	-1	-1	-1	2	-1	2202	-1	0	1	0
101200	1	-1	-1	-1	2	-1	2203	-1	0	1	0
101201	1	-1	-1	-1	2	-1	2204	-1	0	1	0
101202	1	-1	-1	-1	2	-1	2205	-1	0	1	0
101203	1	-1	-1	-1	2	-1	2206	-1	0	1	0
101204	1	-1	-1	-1	2	-1	2207	-1	0	1	0
101205	1	-1	-1	-1	3	-1	2200	-1	0	1	0
101206	1	-1	-1	-1	3	-1	2201	-1	0	1	0
101207	1	-1	-1	-1	3	-1	2202	-1	0	1	0
101208	1	-1	-1	-1	3	-1	2203	-1	0	1	0
101209	1	-1	-1	-1	3	-1	2204	-1	0	1	0
101210	1	-1	-1	-1	3	-1	2205	-1	0	1	0
101211	1	-1	-1	-1	3	-1	2206	-1	0	1	0
101212	1	-1	-1	-1	3	-1	2207	-1	0	1	0
101213	1	-1	-1	-1	4	-1	2200	-1	0	1	0
101214	1	-1	-1	-1	4	-1	2201	-1	0	1	0
101215	1	-1	-1	-1	4	-1	2202	-1	0	1	0
101216	1	-1	-1	-1	4	-1	2203	-1	0	1	0
101217	1	-1	-1	-1	4	-1	2204	-1	0	1	0
101218	1	-1	-1	-1	4	-1	2205	-1	0	1	0
101219	1	-1	-1	-1	4	-1	2206	-1	0	1	0
101220	1	-1	-1	-1	4	-1	2207	-1	0	1	0
101221	1	-1	-1	-1	5	-1	2200	-1	0	1	0
101222	1	-1	-1	-1	5	-1	2201	-1	0	1	0
101223	1	-1	-1	-1	5	-1	2202	-1	0	1	0
101224	1	-1	-1	-1	5	-1	2203	-1	0	1	0
101225	1	-1	-1	-1	5	-1	2204	-1	0	1	0
101226	1	-1	-1	-1	5	-1	2205	-1	0	1	0
101227	1	-1	-1	-1	5	-1	2206	-1	0	1	0
101228	1	-1	-1	-1	5	-1	2207	-1	0	1	0
101261	1	-1	-1	-1	0	2300	-1	-1	0	1	0
101262	1	-1	-1	-1	0	2301	-1	-1	0	1	0
101263	1	-1	-1	-1	0	2302	-1	-1	0	1	0
101264	1	-1	-1	-1	0	2303	-1	-1	0	1	0
101265	1	-1	-1	-1	0	2304	-1	-1	0	1	0
101266	1	-1	-1	-1	0	2305	-1	-1	0	1	0
101267	1	-1	-1	-1	0	2306	-1	-1	0	1	0
101268	1	-1	-1	-1	0	2307	-1	-1	0	1	0
101269	1	-1	-1	-1	1	2300	-1	-1	0	1	0
101270	1	-1	-1	-1	1	2301	-1	-1	0	1	0
101271	1	-1	-1	-1	1	2302	-1	-1	0	1	0
101272	1	-1	-1	-1	1	2303	-1	-1	0	1	0
101273	1	-1	-1	-1	1	2304	-1	-1	0	1	0
101274	1	-1	-1	-1	1	2305	-1	-1	0	1	0
101275	1	-1	-1	-1	1	2306	-1	-1	0	1	0
101276	1	-1	-1	-1	1	2307	-1	-1	0	1	0
101277	1	-1	-1	-1	2	2300	-1	-1	0	1	0
101278	1	-1	-1	-1	2	2301	-1	-1	0	1	0
101279	1	-1	-1	-1	2	2302	-1	-1	0	1	0
101280	1	-1	-1	-1	2	2303	-1	-1	0	1	0
101281	1	-1	-1	-1	2	2304	-1	-1	0	1	0
101282	1	-1	-1	-1	2	2305	-1	-1	0	1	0
101283	1	-1	-1	-1	2	2306	-1	-1	0	1	0
101284	1	-1	-1	-1	2	2307	-1	-1	0	1	0
101285	1	-1	-1	-1	3	2300	-1	-1	0	1	0
101286	1	-1	-1	-1	3	2301	-1	-1	0	1	0
101287	1	-1	-1	-1	3	2302	-1	-1	0	1	0
101288	1	-1	-1	-1	3	2303	-1	-1	0	1	0
101289	1	-1	-1	-1	3	2304	-1	-1	0	1	0
101290	1	-1	-1	-1	3	2305	-1	-1	0	1	0
101291	1	-1	-1	-1	3	2306	-1	-1	0	1	0
101292	1	-1	-1	-1	3	2307	-1	-1	0	1	0
101293	1	-1	-1	-1	4	2300	-1	-1	0	1	0
101294	1	-1	-1	-1	4	2301	-1	-1	0	1	0
101295	1	-1	-1	-1	4	2302	-1	-1	0	1	0
101296	1	-1	-1	-1	4	2303	-1	-1	0	1	0
101297	1	-1	-1	-1	4	2304	-1	-1	0	1	0
101298	1	-1	-1	-1	4	2305	-1	-1	0	1	0
101299	1	-1	-1	-1	4	2306	-1	-1	0	1	0
101300	1	-1	-1	-1	4	2307	-1	-1	0	1	0
101301	1	-1	-1	-1	5	2300	-1	-1	0	1	0
101302	1	-1	-1	-1	5	2301	-1	-1	0	1	0
101303	1	-1	-1	-1	5	2302	-1	-1	0	1	0
101304	1	-1	-1	-1	5	2303	-1	-1	0	1	0
101305	1	-1	-1	-1	5	2304	-1	-1	0	1	0
101306	1	-1	-1	-1	5	2305	-1	-1	0	1	0
101307	1	-1	-1	-1	5	2306	-1	-1	0	1	0
101308	1	-1	-1	-1	5	2307	-1	-1	0	1	0
101341	1	-1	-1	-1	0	-1	2400	-1	0	1	0
101342	1	-1	-1	-1	0	-1	2401	-1	0	1	0
101343	1	-1	-1	-1	0	-1	2402	-1	0	1	0
101344	1	-1	-1	-1	0	-1	2403	-1	0	1	0
101345	1	-1	-1	-1	0	-1	2404	-1	0	1	0
101346	1	-1	-1	-1	0	-1	2405	-1	0	1	0
101347	1	-1	-1	-1	0	-1	2406	-1	0	1	0
101348	1	-1	-1	-1	0	-1	2407	-1	0	1	0
101349	1	-1	-1	-1	1	-1	2400	-1	0	1	0
101350	1	-1	-1	-1	1	-1	2401	-1	0	1	0
101351	1	-1	-1	-1	1	-1	2402	-1	0	1	0
101352	1	-1	-1	-1	1	-1	2403	-1	0	1	0
101353	1	-1	-1	-1	1	-1	2404	-1	0	1	0
101354	1	-1	-1	-1	1	-1	2405	-1	0	1	0
101355	1	-1	-1	-1	1	-1	2406	-1	0	1	0
101356	1	-1	-1	-1	1	-1	2407	-1	0	1	0
101357	1	-1	-1	-1	2	-1	2400	-1	0	1	0
101358	1	-1	-1	-1	2	-1	2401	-1	0	1	0
101359	1	-1	-1	-1	2	-1	2402	-1	0	1	0
101360	1	-1	-1	-1	2	-1	2403	-1	0	1	0
101361	1	-1	-1	-1	2	-1	2404	-1	0	1	0
101362	1	-1	-1	-1	2	-1	2405	-1	0	1	0
101363	1	-1	-1	-1	2	-1	2406	-1	0	1	0
101364	1	-1	-1	-1	2	-1	2407	-1	0	1	0
101365	1	-1	-1	-1	3	-1	2400	-1	0	1	0
101366	1	-1	-1	-1	3	-1	2401	-1	0	1	0
101367	1	-1	-1	-1	3	-1	2402	-1	0	1	0
101368	1	-1	-1	-1	3	-1	2403	-1	0	1	0
101369	1	-1	-1	-1	3	-1	2404	-1	0	1	0
101370	1	-1	-1	-1	3	-1	2405	-1	0	1	0
101371	1	-1	-1	-1	3	-1	2406	-1	0	1	0
101372	1	-1	-1	-1	3	-1	2407	-1	0	1	0
101373	1	-1	-1	-1	4	-1	2400	-1	0	1	0
101374	1	-1	-1	-1	4	-1	2401	-1	0	1	0
101375	1	-1	-1	-1	4	-1	2402	-1	0	1	0
101376	1	-1	-1	-1	4	-1	2403	-1	0	1	0
101377	1	-1	-1	-1	4	-1	2404	-1	0	1	0
101378	1	-1	-1	-1	4	-1	2405	-1	0	1	0
101379	1	-1	-1	-1	4	-1	2406	-1	0	1	0
101380	1	-1	-1	-1	4	-1	2407	-1	0	1	0
101381	1	-1	-1	-1	5	-1	2400	-1	0	1	0
101382	1	-1	-1	-1	5	-1	2401	-1	0	1	0
101383	1	-1	-1	-1	5	-1	2402	-1	0	1	0
101384	1	-1	-1	-1	5	-1	2403	-1	0	1	0
101385	1	-1	-1	-1	5	-1	2404	-1	0	1	0
101386	1	-1	-1	-1	5	-1	2405	-1	0	1	0
101387	1	-1	-1	-1	5	-1	2406	-1	0	1	0
101388	1	-1	-1	-1	5	-1	2407	-1	0	1	0
101400	1	-1	-1	-1	2	-1	4001	-1	0	1	0
101401	1	-1	-1	-1	0	6000	-1	-1	0	1	0
101402	1	-1	-1	-1	0	-1	2008	-1	0	1	0
101403	1	-1	-1	-1	0	-1	2005	-1	0	1	0
101404	1	-1	-1	-1	3	-1	4003	-1	0	1	0
101405	1	-1	-1	-1	3	-1	4002	-1	0	1	0
101410	1	-1	-1	-1	3	2106	-1	-1	0	1	0
101411	1	-1	-1	-1	3	2106	-1	-1	0	1	0
101412	1	-1	-1	-1	3	2106	-1	-1	0	1	0
101413	1	-1	-1	-1	3	2106	-1	-1	0	1	0
101414	1	-1	-1	-1	0	2106	-1	-1	0	1	0
101415	1	-1	-1	-1	0	2106	-1	-1	0	1	0
101416	1	-1	-1	-1	0	2106	-1	-1	0	1	0
101417	1	-1	-1	-1	0	2106	-1	-1	0	1	0
101418	1	-1	-1	-1	3	2102	-1	-1	0	1	0
101419	1	-1	-1	-1	3	2102	-1	-1	0	1	0
101420	1	-1	-1	-1	3	2102	-1	-1	0	1	0
101421	1	-1	-1	-1	3	2102	-1	-1	0	1	0
101422	1	-1	-1	-1	0	2102	-1	-1	0	1	0
101423	1	-1	-1	-1	0	2102	-1	-1	0	1	0
101424	1	-1	-1	-1	0	2102	-1	-1	0	1	0
101425	1	-1	-1	-1	0	2102	-1	-1	0	1	0
101426	1	-1	-1	-1	3	2104	-1	-1	0	1	0
101427	1	-1	-1	-1	3	2104	-1	-1	0	1	0
101428	1	-1	-1	-1	3	2104	-1	-1	0	1	0
101429	1	-1	-1	-1	3	2104	-1	-1	0	1	0
101430	1	-1	-1	-1	0	2104	-1	-1	0	1	0
101431	1	-1	-1	-1	0	2104	-1	-1	0	1	0
101432	1	-1	-1	-1	0	2104	-1	-1	0	1	0
101433	1	-1	-1	-1	0	2104	-1	-1	0	1	0
101434	1	-1	-1	-1	3	2111	-1	-1	0	1	0
101435	1	-1	-1	-1	3	2111	-1	-1	0	1	0
101436	1	-1	-1	-1	3	2111	-1	-1	0	1	0
101437	1	-1	-1	-1	3	2111	-1	-1	0	1	0
101438	1	-1	-1	-1	0	2111	-1	-1	0	1	0
101439	1	-1	-1	-1	0	2111	-1	-1	0	1	0
101440	1	-1	-1	-1	0	2111	-1	-1	0	1	0
101441	1	-1	-1	-1	0	2111	-1	-1	0	1	0
101442	1	-1	-1	-1	1	2104	-1	-1	0	1	0
101443	1	-1	-1	-1	1	2104	-1	-1	0	1	0
101444	1	-1	-1	-1	1	2104	-1	-1	0	1	0
101445	1	-1	-1	-1	1	2104	-1	-1	0	1	0
101446	1	-1	-1	-1	0	2112	-1	-1	0	1	0
101447	1	-1	-1	-1	0	2112	-1	-1	0	1	0
101448	1	-1	-1	-1	0	2112	-1	-1	0	1	0
101449	1	-1	-1	-1	0	2112	-1	-1	0	1	0
101450	1	-1	-1	-1	1	2112	-1	-1	0	1	0
101451	1	-1	-1	-1	1	2112	-1	-1	0	1	0
101452	1	-1	-1	-1	1	2112	-1	-1	0	1	0
101453	1	-1	-1	-1	1	2112	-1	-1	0	1	0
101454	1	-1	-1	-1	0	2109	-1	-1	0	1	0
101455	1	-1	-1	-1	0	2109	-1	-1	0	1	0
101456	1	-1	-1	-1	0	2109	-1	-1	0	1	0
101457	1	-1	-1	-1	0	2109	-1	-1	0	1	0
101458	1	-1	-1	-1	1	2109	-1	-1	0	1	0
101459	1	-1	-1	-1	1	2109	-1	-1	0	1	0
101460	1	-1	-1	-1	1	2109	-1	-1	0	1	0
101461	1	-1	-1	-1	1	2109	-1	-1	0	1	0
101462	1	-1	-1	-1	5	2107	-1	-1	0	1	0
101463	1	-1	-1	-1	5	2107	-1	-1	0	1	0
101464	1	-1	-1	-1	5	2107	-1	-1	0	1	0
101465	1	-1	-1	-1	5	2107	-1	-1	0	1	0
101466	1	-1	-1	-1	0	2107	-1	-1	0	1	0
101467	1	-1	-1	-1	0	2107	-1	-1	0	1	0
101468	1	-1	-1	-1	0	2107	-1	-1	0	1	0
101469	1	-1	-1	-1	0	2107	-1	-1	0	1	0
101470	1	-1	-1	-1	5	2117	-1	-1	0	1	0
101471	1	-1	-1	-1	5	2117	-1	-1	0	1	0
101472	1	-1	-1	-1	5	2117	-1	-1	0	1	0
101473	1	-1	-1	-1	5	2117	-1	-1	0	1	0
101474	1	-1	-1	-1	1	2102	-1	-1	0	1	0
101475	1	-1	-1	-1	1	2107	-1	-1	0	1	0
101476	1	-1	-1	-1	0	2117	-1	-1	0	1	0
101477	1	-1	-1	-1	0	2117	-1	-1	0	1	0
101478	1	-1	-1	-1	0	2117	-1	-1	0	1	0
101479	1	-1	-1	-1	0	2117	-1	-1	0	1	0
101480	1	-1	-1	-1	2	2107	-1	-1	0	1	0
101481	1	-1	-1	-1	2	2107	-1	-1	0	1	0
101482	1	-1	-1	-1	2	2107	-1	-1	0	1	0
101483	1	-1	-1	-1	2	2107	-1	-1	0	1	0
101484	1	-1	-1	-1	4	2107	-1	-1	0	1	0
101485	1	-1	-1	-1	4	2107	-1	-1	0	1	0
101486	1	-1	-1	-1	4	2107	-1	-1	0	1	0
101487	1	-1	-1	-1	4	2107	-1	-1	0	1	0
101488	1	-1	-1	-1	2	2117	-1	-1	0	1	0
101489	1	-1	-1	-1	2	2117	-1	-1	0	1	0
101490	1	-1	-1	-1	2	2117	-1	-1	0	1	0
101491	1	-1	-1	-1	2	2117	-1	-1	0	1	0
101492	1	-1	-1	-1	4	2117	-1	-1	0	1	0
101493	1	-1	-1	-1	4	2117	-1	-1	0	1	0
101494	1	-1	-1	-1	4	2117	-1	-1	0	1	0
101495	1	-1	-1	-1	4	2117	-1	-1	0	1	0
101500	10	-1	-1	1	0	-1	-1	-1	0	1	0
101501	10	-1	-1	2	0	-1	-1	-1	0	1	0
101502	1	-1	4001	4009	0	4	-1	-1	0	1	0
101503	1	-1	4001	4008	0	4	-1	-1	0	1	0
101504	1	-1	4001	4010	0	4	-1	-1	0	1	0
101510	1	-1	-1	-1	3	-1	2206	-1	0	1	0
101511	1	-1	-1	-1	3	-1	2206	-1	0	1	0
101512	1	-1	-1	-1	3	-1	2206	-1	0	1	0
101513	1	-1	-1	-1	3	-1	2206	-1	0	1	0
101514	1	-1	-1	-1	0	-1	2206	-1	0	1	0
101515	1	-1	-1	-1	0	-1	2206	-1	0	1	0
101516	1	-1	-1	-1	0	-1	2206	-1	0	1	0
101517	1	-1	-1	-1	0	-1	2206	-1	0	1	0
101518	1	-1	-1	-1	3	-1	2205	-1	0	1	0
101519	1	-1	-1	-1	3	-1	2205	-1	0	1	0
101520	1	-1	-1	-1	3	-1	2205	-1	0	1	0
101521	1	-1	-1	-1	3	-1	2205	-1	0	1	0
101522	1	-1	-1	-1	0	-1	2205	-1	0	1	0
101523	1	-1	-1	-1	0	-1	2205	-1	0	1	0
101524	1	-1	-1	-1	0	-1	2205	-1	0	1	0
101525	1	-1	-1	-1	0	-1	2205	-1	0	1	0
101526	1	-1	-1	-1	3	-1	2203	-1	0	1	0
101527	1	-1	-1	-1	3	-1	2203	-1	0	1	0
101528	1	-1	-1	-1	3	-1	2203	-1	0	1	0
101529	1	-1	-1	-1	3	-1	2203	-1	0	1	0
101530	1	-1	-1	-1	0	-1	2203	-1	0	1	0
101531	1	-1	-1	-1	0	-1	2203	-1	0	1	0
101532	1	-1	-1	-1	0	-1	2203	-1	0	1	0
101533	1	-1	-1	-1	0	-1	2203	-1	0	1	0
101534	1	-1	-1	-1	3	-1	2207	-1	0	1	0
101535	1	-1	-1	-1	3	-1	2207	-1	0	1	0
101536	1	-1	-1	-1	3	-1	2207	-1	0	1	0
101537	1	-1	-1	-1	3	-1	2207	-1	0	1	0
101538	1	-1	-1	-1	0	-1	2207	-1	0	1	0
101539	1	-1	-1	-1	0	-1	2207	-1	0	1	0
101540	1	-1	-1	-1	0	-1	2207	-1	0	1	0
101541	1	-1	-1	-1	0	-1	2207	-1	0	1	0
101542	1	-1	-1	-1	1	-1	2207	-1	0	1	0
101543	1	-1	-1	-1	1	-1	2207	-1	0	1	0
101544	1	-1	-1	-1	1	-1	2207	-1	0	1	0
101545	1	-1	-1	-1	1	-1	2207	-1	0	1	0
101546	1	-1	-1	-1	0	-1	2213	-1	0	1	0
101547	1	-1	-1	-1	0	-1	2213	-1	0	1	0
101548	1	-1	-1	-1	0	-1	2213	-1	0	1	0
101549	1	-1	-1	-1	0	-1	2213	-1	0	1	0
101550	1	-1	-1	-1	1	-1	2213	-1	0	1	0
101551	1	-1	-1	-1	1	-1	2213	-1	0	1	0
101552	1	-1	-1	-1	1	-1	2213	-1	0	1	0
101553	1	-1	-1	-1	1	-1	2213	-1	0	1	0
101554	1	-1	-1	-1	0	-1	2211	-1	0	1	0
101555	1	-1	-1	-1	0	-1	2211	-1	0	1	0
101556	1	-1	-1	-1	0	-1	2211	-1	0	1	0
101557	1	-1	-1	-1	0	-1	2211	-1	0	1	0
101558	1	-1	-1	-1	1	-1	2211	-1	0	1	0
101559	1	-1	-1	-1	1	-1	2211	-1	0	1	0
101560	1	-1	-1	-1	1	-1	2211	-1	0	1	0
101561	1	-1	-1	-1	1	-1	2211	-1	0	1	0
101562	1	-1	-1	-1	5	-1	2215	-1	0	1	0
101563	1	-1	-1	-1	5	-1	2215	-1	0	1	0
101564	1	-1	-1	-1	5	-1	2215	-1	0	1	0
101565	1	-1	-1	-1	5	-1	2215	-1	0	1	0
101566	1	-1	-1	-1	0	-1	2215	-1	0	1	0
101567	1	-1	-1	-1	0	-1	2215	-1	0	1	0
101568	1	-1	-1	-1	0	-1	2215	-1	0	1	0
101569	1	-1	-1	-1	0	-1	2215	-1	0	1	0
101570	1	-1	-1	-1	5	-1	2209	-1	0	1	0
101571	1	-1	-1	-1	5	-1	2209	-1	0	1	0
101572	1	-1	-1	-1	5	-1	2209	-1	0	1	0
101573	1	-1	-1	-1	5	-1	2209	-1	0	1	0
101574	1	-1	-1	-1	1	-1	2202	-1	0	1	0
101575	1	-1	-1	-1	1	-1	2207	-1	0	1	0
101576	1	-1	-1	-1	0	-1	2209	-1	0	1	0
101577	1	-1	-1	-1	0	-1	2209	-1	0	1	0
101578	1	-1	-1	-1	0	-1	2209	-1	0	1	0
101579	1	-1	-1	-1	0	-1	2209	-1	0	1	0
101580	1	-1	-1	-1	2	-1	2215	-1	0	1	0
101581	1	-1	-1	-1	2	-1	2215	-1	0	1	0
101582	1	-1	-1	-1	2	-1	2215	-1	0	1	0
101583	1	-1	-1	-1	2	-1	2215	-1	0	1	0
101584	1	-1	-1	-1	4	-1	2215	-1	0	1	0
101585	1	-1	-1	-1	4	-1	2215	-1	0	1	0
101586	1	-1	-1	-1	4	-1	2215	-1	0	1	0
101587	1	-1	-1	-1	4	-1	2215	-1	0	1	0
101588	1	-1	-1	-1	2	-1	2209	-1	0	1	0
101589	1	-1	-1	-1	2	-1	2209	-1	0	1	0
101590	1	-1	-1	-1	2	-1	2209	-1	0	1	0
101591	1	-1	-1	-1	2	-1	2209	-1	0	1	0
101592	1	-1	-1	-1	4	-1	2209	-1	0	1	0
101593	1	-1	-1	-1	4	-1	2209	-1	0	1	0
101594	1	-1	-1	-1	4	-1	2209	-1	0	1	0
101595	1	-1	-1	-1	4	-1	2209	-1	0	1	0
101610	1	-1	-1	-1	3	2304	-1	-1	0	1	0
101611	1	-1	-1	-1	3	2304	-1	-1	0	1	0
101612	1	-1	-1	-1	3	2304	-1	-1	0	1	0
101613	1	-1	-1	-1	3	2304	-1	-1	0	1	0
101614	1	-1	-1	-1	0	2304	-1	-1	0	1	0
101615	1	-1	-1	-1	0	2304	-1	-1	0	1	0
101616	1	-1	-1	-1	0	2304	-1	-1	0	1	0
101617	1	-1	-1	-1	0	2304	-1	-1	0	1	0
101618	1	-1	-1	-1	3	2301	-1	-1	0	1	0
101619	1	-1	-1	-1	3	2301	-1	-1	0	1	0
101620	1	-1	-1	-1	3	2301	-1	-1	0	1	0
101621	1	-1	-1	-1	3	2301	-1	-1	0	1	0
101622	1	-1	-1	-1	0	2301	-1	-1	0	1	0
101623	1	-1	-1	-1	0	2301	-1	-1	0	1	0
101624	1	-1	-1	-1	0	2301	-1	-1	0	1	0
101625	1	-1	-1	-1	0	2301	-1	-1	0	1	0
101626	1	-1	-1	-1	3	2302	-1	-1	0	1	0
101627	1	-1	-1	-1	3	2302	-1	-1	0	1	0
101628	1	-1	-1	-1	3	2302	-1	-1	0	1	0
101629	1	-1	-1	-1	3	2302	-1	-1	0	1	0
101630	1	-1	-1	-1	0	2302	-1	-1	0	1	0
101631	1	-1	-1	-1	0	2302	-1	-1	0	1	0
101632	1	-1	-1	-1	0	2302	-1	-1	0	1	0
101633	1	-1	-1	-1	0	2302	-1	-1	0	1	0
101634	1	-1	-1	-1	3	2314	-1	-1	0	1	0
101635	1	-1	-1	-1	3	2314	-1	-1	0	1	0
101636	1	-1	-1	-1	3	2314	-1	-1	0	1	0
101637	1	-1	-1	-1	3	2314	-1	-1	0	1	0
101638	1	-1	-1	-1	0	2314	-1	-1	0	1	0
101639	1	-1	-1	-1	0	2314	-1	-1	0	1	0
101640	1	-1	-1	-1	0	2314	-1	-1	0	1	0
101641	1	-1	-1	-1	0	2314	-1	-1	0	1	0
101642	1	-1	-1	-1	1	2301	-1	-1	0	1	0
101643	1	-1	-1	-1	1	2301	-1	-1	0	1	0
101644	1	-1	-1	-1	1	2301	-1	-1	0	1	0
101645	1	-1	-1	-1	1	2301	-1	-1	0	1	0
101646	1	-1	-1	-1	0	2315	-1	-1	0	1	0
101647	1	-1	-1	-1	0	2315	-1	-1	0	1	0
101648	1	-1	-1	-1	0	2315	-1	-1	0	1	0
101649	1	-1	-1	-1	0	2315	-1	-1	0	1	0
101650	1	-1	-1	-1	1	2315	-1	-1	0	1	0
101651	1	-1	-1	-1	1	2315	-1	-1	0	1	0
101652	1	-1	-1	-1	1	2315	-1	-1	0	1	0
101653	1	-1	-1	-1	1	2315	-1	-1	0	1	0
101654	1	-1	-1	-1	0	2308	-1	-1	0	1	0
101655	1	-1	-1	-1	0	2308	-1	-1	0	1	0
101656	1	-1	-1	-1	0	2308	-1	-1	0	1	0
101657	1	-1	-1	-1	0	2308	-1	-1	0	1	0
101658	1	-1	-1	-1	1	2308	-1	-1	0	1	0
