CardID	CardGroup	StarLevel	NextCardID	AttributeID	Cost_item	Cost_num	Fasion	Image2D	Weaponid	CollectAttriID
261	26	1	262	1	30006	5	-1	106	-1	1
262	26	2	263	2	30006	10	-1	106	-1	2
263	26	3	264	3	30006	15	-1	106	-1	3
264	26	4	265	4	30006	20	-1	106	-1	4
265	26	5	266	5	30006	25	-1	106	-1	5
266	26	6	-1	6	30006	30	-1	106	-1	6
271	27	1	272	1	30007	5	-1	107	-1	1
272	27	2	273	2	30007	10	-1	107	-1	2
273	27	3	274	3	30007	15	-1	107	-1	3
274	27	4	275	4	30007	20	-1	107	-1	4
275	27	5	276	5	30007	25	-1	107	-1	5
276	27	6	-1	6	30007	30	-1	107	-1	6
281	28	1	282	1	30008	5	-1	108	-1	1
282	28	2	283	2	30008	10	-1	108	-1	2
283	28	3	284	3	30008	15	-1	108	-1	3
284	28	4	285	4	30008	20	-1	108	-1	4
285	28	5	286	5	30008	25	-1	108	-1	5
286	28	6	-1	6	30008	30	-1	108	-1	6
291	29	1	292	1	30009	5	-1	109	-1	1
292	29	2	293	2	30009	10	-1	109	-1	2
293	29	3	294	3	30009	15	-1	109	-1	3
294	29	4	295	4	30009	20	-1	109	-1	4
295	29	5	296	5	30009	25	-1	109	-1	5
296	29	6	-1	6	30009	30	-1	109	-1	6
301	30	1	302	1	30010	5	-1	110	-1	1
302	30	2	303	2	30010	10	-1	110	-1	2
303	30	3	304	3	30010	15	-1	110	-1	3
304	30	4	305	4	30010	20	-1	110	-1	4
305	30	5	306	5	30010	25	-1	110	-1	5
306	30	6	-1	6	30010	30	-1	110	-1	6
311	31	1	312	1	30001	5	-1	101	-1	1
312	31	2	313	2	30001	10	-1	101	-1	2
313	31	3	314	3	30001	15	-1	101	-1	3
314	31	4	315	4	30001	20	-1	101	-1	4
315	31	5	316	5	30001	25	-1	101	-1	5
316	31	6	-1	6	30001	30	-1	101	-1	6
321	32	1	322	1	30002	5	-1	102	-1	1
322	32	2	323	2	30002	10	-1	102	-1	2
323	32	3	324	3	30002	15	-1	102	-1	3
324	32	4	325	4	30002	20	-1	102	-1	4
325	32	5	326	5	30002	25	-1	102	-1	5
326	32	6	-1	6	30002	30	-1	102	-1	6
331	33	1	332	1	30003	5	-1	103	-1	1
332	33	2	333	2	30003	10	-1	103	-1	2
333	33	3	334	3	30003	15	-1	103	-1	3
334	33	4	335	4	30003	20	-1	103	-1	4
335	33	5	336	5	30003	25	-1	103	-1	5
336	33	6	-1	6	30003	30	-1	103	-1	6
341	34	1	342	1	30004	5	-1	104	-1	1
342	34	2	343	2	30004	10	-1	104	-1	2
343	34	3	344	3	30004	15	-1	104	-1	3
344	34	4	345	4	30004	20	-1	104	-1	4
345	34	5	346	5	30004	25	-1	104	-1	5
346	34	6	-1	6	30004	30	-1	104	-1	6
351	35	1	352	1	30005	5	-1	105	-1	1
352	35	2	353	2	30005	10	-1	105	-1	2
353	35	3	354	3	30005	15	-1	105	-1	3
354	35	4	355	4	30005	20	-1	105	-1	4
355	35	5	356	5	30005	25	-1	105	-1	5
356	35	6	-1	6	30005	30	-1	105	-1	6
361	36	1	362	1	30006	5	-1	106	-1	1
362	36	2	363	2	30006	10	-1	106	-1	2
363	36	3	364	3	30006	15	-1	106	-1	3
364	36	4	365	4	30006	20	-1	106	-1	4
365	36	5	366	5	30006	25	-1	106	-1	5
366	36	6	-1	6	30006	30	-1	106	-1	6
371	37	1	372	1	30007	5	-1	107	-1	1
372	37	2	373	2	30007	10	-1	107	-1	2
373	37	3	374	3	30007	15	-1	107	-1	3
374	37	4	375	4	30007	20	-1	107	-1	4
375	37	5	376	5	30007	25	-1	107	-1	5
376	37	6	-1	6	30007	30	-1	107	-1	6
381	38	1	382	1	30008	5	-1	108	-1	1
382	38	2	383	2	30008	10	-1	108	-1	2
383	38	3	384	3	30008	15	-1	108	-1	3
384	38	4	385	4	30008	20	-1	108	-1	4
385	38	5	386	5	30008	25	-1	108	-1	5
386	38	6	-1	6	30008	30	-1	108	-1	6
391	39	1	392	1	30009	5	-1	109	-1	1
392	39	2	393	2	30009	10	-1	109	-1	2
393	39	3	394	3	30009	15	-1	109	-1	3
394	39	4	395	4	30009	20	-1	109	-1	4
395	39	5	396	5	30009	25	-1	109	-1	5
396	39	6	-1	6	30009	30	-1	109	-1	6
401	40	1	402	1	30010	5	-1	110	-1	1
402	40	2	403	2	30010	10	-1	110	-1	2
403	40	3	404	3	30010	15	-1	110	-1	3
404	40	4	405	4	30010	20	-1	110	-1	4
405	40	5	406	5	30010	25	-1	110	-1	5
406	40	6	-1	6	30010	30	-1	110	-1	6
411	41	1	412	1	30001	5	-1	101	-1	1
412	41	2	413	2	30001	10	-1	101	-1	2
413	41	3	414	3	30001	15	-1	101	-1	3
414	41	4	415	4	30001	20	-1	101	-1	4
415	41	5	416	5	30001	25	-1	101	-1	5
416	41	6	-1	6	30001	30	-1	101	-1	6
421	42	1	422	1	30002	5	-1	102	-1	1
422	42	2	423	2	30002	10	-1	102	-1	2
423	42	3	424	3	30002	15	-1	102	-1	3
424	42	4	425	4	30002	20	-1	102	-1	4
425	42	5	426	5	30002	25	-1	102	-1	5
426	42	6	-1	6	30002	30	-1	102	-1	6
431	43	1	432	1	30003	5	-1	103	-1	1
432	43	2	433	2	30003	10	-1	103	-1	2
433	43	3	434	3	30003	15	-1	103	-1	3
434	43	4	435	4	30003	20	-1	103	-1	4
435	43	5	436	5	30003	25	-1	103	-1	5
436	43	6	-1	6	30003	30	-1	103	-1	6
441	44	1	442	1	30004	5	-1	104	-1	1
442	44	2	443	2	30004	10	-1	104	-1	2
443	44	3	444	3	30004	15	-1	104	-1	3
444	44	4	445	4	30004	20	-1	104	-1	4
445	44	5	446	5	30004	25	-1	104	-1	5
446	44	6	-1	6	30004	30	-1	104	-1	6
451	45	1	452	1	30005	5	-1	105	-1	1
452	45	2	453	2	30005	10	-1	105	-1	2
453	45	3	454	3	30005	15	-1	105	-1	3
454	45	4	455	4	30005	20	-1	105	-1	4
455	45	5	456	5	30005	25	-1	105	-1	5
456	45	6	-1	6	30005	30	-1	105	-1	6
461	46	1	462	1	30006	5	-1	106	-1	1
462	46	2	463	2	30006	10	-1	106	-1	2
463	46	3	464	3	30006	15	-1	106	-1	3
464	46	4	465	4	30006	20	-1	106	-1	4
465	46	5	466	5	30006	25	-1	106	-1	5
466	46	6	-1	6	30006	30	-1	106	-1	6
471	47	1	472	1	30007	5	-1	107	-1	1
472	47	2	473	2	30007	10	-1	107	-1	2
473	47	3	474	3	30007	15	-1	107	-1	3
474	47	4	475	4	30007	20	-1	107	-1	4
475	47	5	476	5	30007	25	-1	107	-1	5
476	47	6	-1	6	30007	30	-1	107	-1	6
481	48	1	482	1	30008	5	-1	108	-1	1
482	48	2	483	2	30008	10	-1	108	-1	2
483	48	3	484	3	30008	15	-1	108	-1	3
484	48	4	485	4	30008	20	-1	108	-1	4
485	48	5	486	5	30008	25	-1	108	-1	5
486	48	6	-1	6	30008	30	-1	108	-1	6
491	49	1	492	1	30009	5	-1	109	-1	1
492	49	2	493	2	30009	10	-1	109	-1	2
493	49	3	494	3	30009	15	-1	109	-1	3
494	49	4	495	4	30009	20	-1	109	-1	4
495	49	5	496	5	30009	25	-1	109	-1	5
496	49	6	-1	6	30009	30	-1	109	-1	6
501	50	1	502	1	30010	5	-1	110	-1	1
502	50	2	503	2	30010	10	-1	110	-1	2
503	50	3	504	3	30010	15	-1	110	-1	3
504	50	4	505	4	30010	20	-1	110	-1	4
505	50	5	506	5	30010	25	-1	110	-1	5
506	50	6	-1	6	30010	30	-1	110	-1	6
