AnimationID	AnimName	IsSelfRestart	Motion	Layer	DrawSwordBackTime
100604	atk_dp2_single_j_0004	1	0	0	1300
100605	skill_dp2_single_j_0008	1	0	0	1700
100606	skill_dp2_single_j_0009	1	0	0	2400
100607	skill_dp2_single_j_0010	1	0	0	1800
100608	skill_dp2_single_y_0002	1	0	0	2700
100701	atk_xdq_both_y_0001	1	0	0	2433
100702	skill_xdq_both_y_0001	1	0	0	1500
100703	skill_xdq_both_y_0002	1	0	0	2500
100704	skill_xdq_both_y_0003	1	0	0	3500
100705	skill_xdq_single_y_0001	1	0	0	2233
100801	skill_fyp_none_y_0001	1	0	0	2000
100802	atk_fyp_none_y_0001	1	0	0	1667
100803	skill_fyp_none_y_0002	1	0	0	1300
100804	skill_fyp_none_y_0003	1	0	0	1300
100805	skill_fyp_none_y_0006	1	0	0	3000
110101	atk_sq_both_y_0001	1	1	0	600
110102	atk_sq_both_y_0002	1	1	0	567
110103	atk_sq_both_y_0003	1	1	0	1933
110104	skill_sq_both_n_0001	1	1	0	1067
110105	skill_sq_both_y_0001	1	1	0	2700
110106	skill_sq_both_y_0002	1	0	0	667
110107	skill_sq_dual_y_0001	1	1	0	667
110108	skill_sq_both_j_0001	1	1	0	1833
110109	skill_sq_both_n_0002	1	0	0	1133
110201	atk_dp_both_j_0002	1	1	0	800
110202	atk_dp_both_j_0003	1	1	0	800
110203	skill_dp2_single_j_0009	1	1	0	1133
110204	skill_dp_both_j_0001	1	0	0	1167
110205	skill_dp_both_j_0004	1	0	0	1167
110206	skill_dp_both_j_0002	1	0	0	3500
110207	skill_dp_both_j_0003	1	0	0	1433
110301	atk_mq_both_y_0001	1	0	1	1000
110302	skill_mq_both_y_0001	1	0	0	1000
110303	skill_mq_both_j_0001	1	0	0	2000
110304	skill_mq_both_y_0002	1	0	0	1400
110306	atk_jq_single_y_0001	1	0	0	267
110307	atk_jq_single_y_0002	1	0	1	267
110401	atk_fd_single_y_0001	1	1	0	767
110402	atk_fd_single_y_0002	1	1	0	700
110403	atk_fd_single_y_0003	1	1	0	933
110404	skill_fd_single_y_0001	1	0	0	800
110405	skill_fd_single_y_0002	1	0	0	867
110406	skill_fd_single_y_0003	1	0	0	500
110407	skill_fd_single_y_0004	1	0	0	467
110408	skill_fd_single_y_0005	1	0	0	467
110409	skill_fd_single_y_0006	1	0	0	467
110410	skill_fd_single_y_0007	1	0	0	833
110411	skill_fd_single_n_0001	1	0	0	967
110412	skill_fd_single_n_0002	1	0	0	1933
110413	skill_fd_single_y_0008	1	0	0	1567
110701	atk_hjt_single_y_0001	1	0	0	1867
110702	skill_hjt_single_y_0002	1	0	0	2067
110703	skill_hjt_single_y_0003	1	0	0	2067
110704	skill_hjt_single_y_0004	1	0	0	2767
10001	skill_hjt_single_y_0001_10S	1	0	0	10000
10002	skill_hjt_none_y_0001	1	0	0	2067
10003	skill_ld_both_y_0002	1	0	0	3010
5001	skill_claw_1	1	1	0	2150
5002	skill_clawwhisk	1	1	0	4150
5003	skill_howl	1	1	0	2270
5011	atk_j_0001	1	0	0	900
5012	skill_j_0001	1	1	0	1000
5013	skill_j_0002	1	0	0	800
5014	skill_j_0003	1	0	0	1100
5015	skill_j_0004	1	0	0	2800
5016	skill_y_0001	1	0	0	2300
5101	monster_gouzi_atk_siyao	1	0	0	1500
5102	monster_gouzi_skill_chongfeng	1	0	0	1334
5103	monster_gouzi_skill_dingzhuang	1	0	0	1633
5104	monster_gouzi_skill_xuli	1	0	0	500
5105	monster_gouzi_skill_xulixunhuan	1	0	0	1500
5106	monster_gouzi_skill_paoxiao	1	0	0	4000
5107	monster_gouzi_skill_faguang	1	0	0	4000
5108	monster_gouzi_skill_zuopaiji	1	0	0	2000
5109	monster_gouzi_skill_youpaiji	1	0	0	2000
5110	monster_juhua_atk_siyao	1	0	0	1667
5111	monster_juhua_skill_chongfeng	1	0	0	2000
1003	atk_ks_none_j_0001	1	0	0	0
1004	atk_ks_none_y_0001	1	0	0	0
1005	atk_ks_none_y_0002	1	0	0	0
