ID	ShowName	LevelName	NextSceneID	BornData	MapType	CopyType	CopyScore	CopyPreID	CopyLevel	TOD	ParallelCnt	LoadValue	PlayerMax	CloseTime	KeepTime	SceneAttributes	SizeX	SizeY	BlockSize	ReliveTime	ReliveFlags	Name	secondsToSyncDB	TipsInType	TipsInTxt	TokenCountMin	TokenCountMax	TokenCondition	TokenAttribute	SoundID	MainUiMould	XmlLoader
1009	110023	F_M_SM	0	200	0	0	0	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_SM	0	0	0	0	0	0	0	3001	0	-1
1010	110024	F_M_SM	0	200	0	0	0	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_SM	0	0	0	0	0	0	0	3001	0	-1
1011	110025	F_M_SM	0	200	0	0	0	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_SM	0	0	0	0	0	0	0	3001	0	-1
1012	110026	F_M_SM	0	200	0	0	0	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_SM	0	0	0	0	0	0	0	3001	0	-1
1013	110027	F_M_SM	0	200	0	0	0	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	F_M_SM	0	0	0	0	0	0	0	3001	0	-1
2000	110028	Test_ani	5	200	2	2000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	Test_ani	0	0	0	1	8	0	1	3001	0	-1
2001	110029	challenge_team_shandong_0	5	200	2	2001	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	challenge_team_shandong_0	0	0	0	1	4	0	1	3001	0	Config/MapConfig/challenge_team_shandong_0.bytes
4000	110030	raw_shandong_0	5	200	2	4000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4001	110031	raw_shandong_0	5	200	2	4000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4002	110032	raw_shandong_0	5	200	2	4000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4003	110033	raw_shandong_0	5	200	2	4000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4004	110034	raw_shandong_0	5	200	2	4000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4005	110035	raw_shandong_0	5	200	2	4000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4006	110036	raw_shandong_0	5	200	2	4000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4007	110037	raw_shandong_0	5	200	2	4000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4008	110038	raw_shandong_0	5	200	2	4000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4009	110039	raw_shandong_0	5	200	2	4000	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4500	110040	raw_shandong_0	5	200	2	4500	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4501	110041	raw_shandong_0	5	200	2	4500	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4502	110042	raw_shandong_0	5	200	2	4500	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4503	110043	raw_shandong_0	5	200	2	4500	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4504	110044	raw_shandong_0	5	200	2	4500	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4505	110045	raw_shandong_0	5	200	2	4500	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4506	110046	raw_shandong_0	5	200	2	4500	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4507	110047	raw_shandong_0	5	200	2	4500	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4508	110048	raw_shandong_0	5	200	2	4500	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
4509	110049	raw_shandong_0	5	200	2	4500	1	0	1	0	4	200	1000	600	7200	0	300	300	50	126	0	raw_shandong_0	0	0	0	1	8	0	1	3001	0	Config/MapConfig/raw_shandong_0.bytes
