effectid	particle	scale	lifetime	sound	needpreload
2024	Effects/Particle/Common/atk_ssdj_both_j_0001_shouji_03.prefab	1	-1	0	1
2025	Effects/Particle/Common/Bomb_075.prefab	1	-1	100709	1
2026	Effects/Particle/Common/Bomb_074.prefab	1	-1	100708	1
2027	Effects/Particle/Common/Bomb_076.prefab	1	-1	0	1
2028	Effects/Particle/Common/Bomb_073.prefab	1	-1	0	1
2029	Effects/Particle/Common/Bomb_075.prefab	3	-1	100708	1
2030	Effects/Particle/Monster/jijia/monster_jijia_skill_jineng3_boom.prefab	1	-1	0	1
2031	Effects/Particle/Common/Attack_41.prefab	3	-1	4002	1
3001	Effects/Particle/Player/BS_01/EFF_skill_bs_single_n_0002_02.prefab	1	-1	0	1
3002	Effects/Particle/Player/BS_01/EFF_skill_bs_single_n_0002_03.prefab	1	-1	0	1
4001	Effects/Particle/Common/GUN_Bullet_042.prefab	3	-1	100701	1
4002	Effects/Particle/Common/GUN_Bullet_041.prefab	1	-1	0	1
4003	Effects/Particle/Common/GUN_Bullet_043.prefab	1	-1	0	1
4004	Effects/Particle/Player/FD_01/EFF_atk_fd_single_y_0001.prefab	0.4	-1	0	1
4005	Effects/Particle/Player/FD_01/EFF_skill_fd_single_y_0001.prefab	0.6	-1	0	1
4006	Effects/Particle/Common/GUN_Bullet_071.prefab	0.3	-1	0	1
4007	Effects/Particle/Common/GUN_Bullet_072.prefab	1	-1	0	1
4008	Effects/Particle/Common/GUN_Bullet_044_01.prefab	1	-1	0	1
4009	Effects/Particle/Common/GUN_Bullet_045_01.prefab	1	-1	0	1
4010	Effects/Particle/Common/GUN_Bullet_046.prefab	1	-1	0	1
4011	Effects/Particle/Common/SQ_bullet_01.prefab	1	-1	0	1
4012	Effects/Particle/Common/SQ_bullet_02.prefab	1	-1	0	1
4013	Effects/Particle/Common/SQ_bullet_03.prefab	1	-1	0	1
4014	Effects/Particle/Player/DP_02/skill_dp2_single_y_0002.prefab	1	-1	0	1
4015	Effects/Particle/Player/XDQ_01/EFF_xdq_daodan.prefab	1	-1	0	1
4016	Effects/Particle/Player/FYP_01\skill_fyp_none_y_0004.prefab	1	-1	0	1
4017	Effects/Particle/Monster/juhua/EFF_monster_juhua_08.prefab	1	-1	200070	1
4018	Effects/Particle/Monster/juhua/EFF_monster_juhua_hit.prefab	1	-1	200069	1
4019	Effects/Particle/Monster/jijia/monster_jijia_skill_jineng3_bullet.prefab	1	-1	0	1
4020	Effects/Particle/Monster/jijia/monster_jijia_skill_jineng3_real.prefab	1	-1	0	1
5001	Effects/Particle/Common/BUFF_huifu_01.prefab	1	-1	0	1
5002	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0001.prefab	1	-1	0	1
5003	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0002_start.prefab	1	-1	0	1
5004	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0002_loop.prefab	1	-1	0	1
5005	Effects/Particle/Player/BS_01/EFF_skill_bs_single_j_0002_end.prefab	1	-1	0	1
5006	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0003.prefab	1	-1	0	1
5007	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0001_a.prefab	1	-1	0	1
5008	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0002_a.prefab	1	-1	0	1
5009	Effects/Particle/Common/BUFF_WFY_041.prefab	1	-1	0	1
5010	Effects/Particle/Player/BS_01/EFF_skill_bs_single_n_0002_loop.prefab	1	-1	0	1
5011	Effects/Particle/Common/BUFF_huifu_02.prefab	1	-1	0	1
5012	Effects/Particle/Player/FD_01/EFF_skill_fd_BUFF_01.prefab	1	-1	0	1
5013	Effects/Particle/Common/BUFF_jiansu_01.prefab	1	-1	0	1
5014	Effects/Particle/Player/DP_02/EFF_dp2_miansi.prefab	1	-1	0	1
5015	Effects/Particle/Player/DP_02/EFF_dp2_miansi_shouji.prefab	1	-1	0	1
5016	Effects/Particle/Player/DP_02/EFF_dp2_fangyu.prefab	1	-1	0	1
5017	Effects/Particle/Player/SSDJ_01/EFF_nengliang.prefab	1	-1	0	1
6001	Effects/Particle/Common/GUN_Flash_01.prefab	1	-1	100701	1
6002	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0001.prefab	1	-1	0	1
6003	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0003.prefab	1	-1	0	1
6004	Effects/Particle/Player/BQ_01/Effect_skill_bq_both_y_0002_b.prefab	1	-1	0	1
6005	Effects/Particle/Player/SQ_01/EFF_atk_sq_both_y_0001.prefab	1	-1	0	1
6006	Effects/Particle/Common/GUN_Flash_071.prefab	1	-1	0	1
6007	Effects/Particle/Common/GUN_Flash_072.prefab	1	-1	0	1
6008	Effects/Particle/Common/GUN_Flash_041.prefab	1	-1	0	1
6009	Effects/Particle/Common/GUN_Flash_042.prefab	1	-1	0	1
6010	Effects/Particle/Common/SQ_flash_01.prefab	1	-1	0	1
6011	Effects/Particle/Common/SQ_flash_02.prefab	1	-1	0	1
6012	Effects/Particle/Player/XDQ_01/EFF_xdq_daodan_qiangkou.prefab	1	-1	0	1
7001	Effects/Particle/Player/FD_01/EFF_skill_fd_SYCX.prefab	1	-1	0	1
7002	Effects/Particle/Player/FD_01/EFF_skill_fd_SYXS.prefab	1	-1	0	1
7005	Effects/Wall.prefab	1	-1	0	1
7006	Prefabs/Monster/Boss/Effect_skill_bq_both_n_0001.prefab	1	-1	0	1
7007	Effects/Particle/Player/DP_01/skill_dp_both_j_0002_start_tu.prefab	1	-1	0	1
8000	Effects/Particle/Common/Eff_screen_02.prefab	1.25	-1	0	1
8099	Effects/Particle/Common/Eff_screen_01.prefab	1	-1	0	1
10001	Effects/Particle/Common/yujing_fang.prefab	1	-1	0	1
10002	Effects/Particle/Common/yujing_shan.prefab	1	-1	0	1
10003	Effects/Particle/Common/yujing_yuan.prefab	1	-1	0	1
20001	Effects/Particle/Common/Eff_mark_01.prefab	1	-1	0	1
20002	Effects/Particle/Common/Eff_mark_02.prefab	1	-1	0	1
