ParamID	id	name	AValue	remark	type	defaultvalue	max	min	flag	MySqlFlag
0	401	tempmorph_2	0		int32	0			33554473	0
0	402	tempmorph_3	0		int32	0			33554473	0
0	403	templipcolor	0	嘴唇颜色	int8	-1	127	-1	33554489	0
0	500	scoretotal	0	总分	int32	0	2147483647	0	16777257	0
0	501	scorebase	0	人物基础分	int32	0	2147483647	0	16777257	0
0	502	scoreequip	0	装备分	int32	0	2147483647	0	16777257	0
0	503	scoreornament	0	饰品分	int32	0	2147483647	0	16777257	0
0	504	scorefabao	0	法宝分	int32	0	2147483647	0	16777257	0
0	505	scoretalent	0	天赋分	int32	0	2147483647	0	16777257	0
0	506	scorejueji	0	绝技分	int32	0	2147483647	0	16777257	0
0	507	scorechaoxiliu	0	潮汐流分	int32	0	2147483647	0	16777257	0
0	508	scorezhenyuan	0	真元分	int32	0	2147483647	0	16777257	0
0	509	scoreneidan	0	内丹分	int32	0	2147483647	0	16777257	0
0	510	scorepet	0	神兽分	int32	0	2147483647	0	16777257	0
0	592	loginlogicid	0		int32		4096	-1	2	0
0	593	logindataid	0		int32		4096	-1	2	0
0	594	wuxingstate	0		uint8		255	0	11	0
0	650	stallname	0	摊位名称	Char64				57	0
0	652	enh0	0	角色修炼0 五行修炼	uint64	0			16777257	0
0	653	enh1	0	角色修炼1 五行修炼	uint64	0			16777257	0
0	654	enh2	0	角色修炼2 帮会修炼	uint64	0			16777257	0
0	655	webregister	0	weibo注册	int32	0			41	0
0	701	pose	0		int32	0	65535	0	25	0
0	702	union_struct_1	0	可以组合多个字段	uint64	0			41	0
0	703	union_struct_2	0	可以组合多个字段	uint64	0			41	0
0	704	ban_game_date	0	这个日期之前禁止进游戏	uint32	0			33554529	0
0	799	titleflag	0		Char64		255	0	41	0
0	800	titlestr	0		Char32		255	0	57	0
0	801	titleid	0		int32		65535	-1	57	0
0	802	titleaid	0		int32		65535	-1	41	0
0	803	titlepoint	0		int32		65535	-1	9	0
0	804	client_ip	0	客户端的IP地址	uint32	0			1	0
0	805	left_point	0	剩余点数	uint32	0			9	0
0	850	fexplain	0	好友说明	Char32				41	0
0	851	activeval	0	活跃值	int32	0			201326633	0
0	852	lastfetchtimes	0	玩家上一次领取英雄斩的时间	uint32	0	9223372036854775807	0	41	0
0	853	actvalue	0	活跃度	int32	0	100	0	41	0
0	854	actaward	0	活跃奖励领取	int32	0	65535	0	41	0
0	855	enrvalue	0	生产值	int32	0	100	0	201326633	0
0	857	actweekvalue	0	周活跃度	int32	0	7	0	41	0
0	861	dayupdatetime	0	天刷新时间	uint32	0	9223372036854775807	0	33	0
0	862	weekupdatetime	0	周刷新时间	uint32	0	9223372036854775807	0	33	0
0	863	marry_state	0	结婚状态 2订婚3结婚	int8	0			57	0
0	864	marry_tar_name	0	结婚对象昵称	Char64				57	0
0	865	marry_value	0	婚姻值	uint32	0			41	0
0	866	marry_weddingcombo	0	婚礼套餐ID	int32	0			41	0
0	867	TokenID	0	个人令牌	uint16	0			1	0
0	868	wedding_time	0	婚礼时间	uint32	0	9223372036854775807	0	41	0
0	1001	str	1	力量	f32	0			9	0
0	1002	wis	1	魔力	f32	0			9	0
0	1003	dex	1	敏捷	f32	0			9	0
0	1004	vit	1	耐力	f32	0			9	0
0	1005	con	1	体质	f32	0			9	0
0	2001	atk_d	1	物理攻击力	f32	0			9	0
0	2002	atk_d_p	1	物理攻击精通	f32	0			9	0
0	2003	atk_d_r	1	物理攻击精通加成	f32	0			9	0
0	2011	ddc	1	物理伤增	f32	0			9	0
0	2012	ddr	1	物理伤增加成	f32	0			9	0
0	2021	i_d_ac	1	破甲	f32	0			9	0
0	2022	i_d_ac_p	1	破甲等级	f32	0			9	0
0	2023	i_d_ac_r	1	破甲加成	f32	0			9	0
0	2101	atk_p	1	法术攻击力	f32	0			9	0
0	2102	atk_p_p	1	法术攻击精通	f32	0			9	0
0	2103	atk_p_r	1	法术攻击精通加成	f32	0			9	0
0	2111	pdc	1	法术伤增	f32	0			9	0
0	2112	pdr	1	法术伤增加成	f32	0			9	0
0	2121	i_p_ac	1	穿透	f32	0			9	0
0	2122	i_p_ac_p	1	穿透等级	f32	0			9	0
0	2123	i_p_ac_r	1	穿透加成	f32	0			9	0
0	2201	dm	1	附加伤害	f32	0			9	0
0	2211	dc	1	伤增	f32	0			9	0
0	2212	dr	1	伤增加成	f32	0			9	0
0	2301	hitp	1	命中等级	f32	0			9	0
0	2302	hitr	1	命中率修正	f32	0			9	0
0	2401	dhp	1	会心等级	f32	0			9	0
0	2402	dhr	1	会心加成	f32	0			9	0
0	2411	dhcp	1	会心效果等级	f32	0			9	0
0	2412	dhcr	1	会心效果加成	f32	0			9	0
0	2501	threat_p	1	仇恨等级	f32	0			9	0
0	2502	threat_r	1	仇恨加成	f32	0			9	0
0	2503	threat	1	仇恨值	f32	0			9	0
0	2601	attr	1	自定义数值	f32	0			9	0
0	2602	attr_r	1	自定义系数	f32	0			9	0
0	3001	d_ac	1	护甲	f32	0			9	0
0	3002	d_ac_p	1	护甲精通	f32	0			9	0
0	3003	d_ac_r	1	护甲精通加成	f32	0			9	0
0	3011	cddc	1	物理伤减	f32	0			9	0
0	3012	cddr	1	物理伤减加成	f32	0			9	0
0	3101	p_ac	1	抗性	f32	0			9	0
0	3102	p_ac_p	1	抗性精通	f32	0			9	0
0	3103	p_ac_r	1	抗性精通加成	f32	0			9	0
0	3111	cpdc	1	法术伤减	f32	0			9	0
0	3112	cpdr	1	法术伤减加成	f32	0			9	0
0	3201	da	1	伤害吸收	f32	0			9	0
0	3211	cdc	1	伤减	f32	0			9	0
0	3212	cdr	1	伤减加成	f32	0			9	0
0	3301	advp	1	闪避等级	f32	0			9	0
0	3302	advr	1	闪避率修正	f32	0			9	0
0	3401	be_dhp	1	坚韧等级	f32	0			9	0
0	3402	be_dhr	1	坚韧加成	f32	0			9	0
0	3403	be_dhcp	1	会心伤害减免等级	f32	0			9	0
0	3404	be_dhcr	1	会心伤害减免加成	f32	0			9	0
0	4011	hp_p	1	生命精通	f32	0			9	0
0	4012	hp_r	1	生命精通加成	f32	0			9	0
0	4021	hprecoveryspd	1	生命值恢复	f32	0			9	0
0	4022	hprecoveryspd_p	1	生命值恢复等级	f32	0			9	0
0	4023	hprecoveryspd_r	1	生命值恢复加成	f32	0			9	0
0	4031	hhp_p	1	治疗效果等级	f32	0			9	0
0	4032	hhp_r	1	治疗效果加成	f32	0			9	0
0	4041	be_hhp_p	1	承受治疗效果等级	f32	0			9	0
0	4042	be_hhp_r	1	承受治疗效果加成	f32	0			9	0
0	4111	mprecoveryspd	1	魔法值恢复	f32	0			9	0
0	4112	mprecoveryspd_p	1	魔法值恢复等级	f32	0			9	0
0	4113	mprecoveryspd_r	1	魔法值恢复加成	f32	0			9	0
0	4121	sk_mp_p	1	魔法消耗减免等级	f32	0			9	0
0	4122	sk_mp_r	1	魔法消耗减免加成	f32	0			9	0
0	5001	spp	1	移动速度等级	f32	0	10	0	281	0
0	5002	spr	1	移动速度加成	f32	0	10	-1	281	0
0	5101	f_spp	1	飞行速度等级	f32	0	20	0	281	0
0	5102	f_spr	1	飞行速度加成	f32	0	20	0	281	0
0	6001	back_time_p	1	击退时间缩短等级	f32	0			9	0
0	6002	back_time_r	1	击退时间缩短等级	f32	0			9	0
0	6003	air_time_p	1	浮空时间缩短等级	f32	0			9	0
0	6004	air_time_r	1	浮空时间缩短加成	f32	0			9	0
0	6005	stun_time_p	1	眩晕时间缩短等级	f32	0			9	0
0	6006	stun_time_r	1	眩晕时间缩短加成	f32	0			9	0
0	6007	terrif_time_p	1	恐惧时间缩短等级	f32	0			9	0
0	6008	terrif_time_r	1	恐惧时间缩短加成	f32	0			9	0
0	6009	freeze_time_p	1	定身时间缩短等级	f32	0			9	0
0	6010	freeze_time_r	1	定身时间缩短加成	f32	0			9	0
0	6011	bind_time_p	1	缠绕时间缩短等级	f32	0			9	0
0	6012	bind_time_r	0	缠绕时间缩短加成	f32	0			9	0
0	6013	sleep_time_p	1	睡眠时间缩短等级	f32	0			9	0
0	6014	sleep_time_r	1	睡眠时间缩短加成	f32	0			9	0
0	6015	frozen_time_p	1	冰冻时间缩短等级	f32	0			9	0
0	6016	frozen_time_r	1	冰冻时间缩短加成	f32	0			9	0
0	6017	charm_time_p	1	魅惑时间缩短等级	f32	0			9	0
0	6018	charm_time_r	1	魅惑时间缩短加成	f32	0			9	0
0	6019	taunt_time_p	1	嘲讽时间缩短等级	f32	0			9	0
0	6020	taunt_time_r	1	嘲讽时间缩短加成	f32	0			9	0
0	6021	blind_time_p	1	致盲时间缩短等级	f32	0			9	0
0	6022	blind_time_r	0	致盲时间缩短加成	f32	0			9	0
0	6023	silent_time_p	1	沉默时间缩短等级	f32	0			9	0
0	6024	silent_time_r	1	沉默时间缩短加成	f32	0			9	0
0	6025	distortion_time_p	1	变形时间缩短等级	f32	0			9	0
0	6026	distortion_time_r	1	变形时间缩短加成	f32	0			9	0
0	7101	k_exp_gr	1	杀怪经验加成	f32	0			9	0
0	7102	exp_gr	1	所有经验加成	f32	0			9	0
0	7103	energypoint	1	闪避点	f32	0			9	0
1	2	titleid	0		uint32		2147483647	0	17	0
1	3	level	0		uint8		255	0	17	0
1	4	vocation	0		uint8		127	0	0	0
1	5	camp	0		uint8		255	1	0	0
1	6	sex	0		int8		0	0	0	0
1	7	modid	0		int32		30000	0	17	0
1	8	tempcamp	0		uint8		255	0	273	0
1	12	part_enable_mask	0		int32		2147483647	-1	17	0
1	13	part_break_mask	0		int32		2147483647	-1	17	0
1	14	target_id	0		int32		2147483647	-2147483647	25	0
1	24	hp	0		f32		2147483647	0	17	0
1	25	hpmax	0		f32		2147483647	-2147483647	17	0
1	30	movespeed	0		f32		2147483647	0	0	0
1	33	mp	0		f32		65535	-65535	1	0
1	34	mpmax	0		f32		65535	-65535	1	0
1	40	sceneuid	0		int32		2147483647	-1	17	0
1	64	masterid	0		int32	0	2147483647		17	0
1	100	npcexp	0		int32		2147483647	0	0	0
1	101	npcexpparam	0		f32		10000	0	0	0
1	208	animtablename	0		int32		2147483647	-1	0	0
1	240	aialarmid	0		int32		2147483647	-1	17	0
1	241	aichaseid	0		int32		2147483647	-1	0	0
1	260	turnspeed	0		f32		2147483647	-1	0	0
1	261	relivetime	0		int32		2147483647	-1	0	0
1	310	collisiontype	0		int32		2147483647	-1	0	0
1	316	sceneid	0		int32		2147483647	-2147483647	0	0
1	318	removedelaytime	0		int32		2147483647	0	0	0
1	354	titleimage	0		int32		255	0	0	0
1	359	hpperbar	0		int32		2147483647	0	17	0
1	365	npcflag	0		int32		512	0	17	0
1	386	dialogid	0		int32		2147483647	-1	0	0
1	387	aidataid	0		int32		2147483647	-1	0	0
1	388	aiparamid	0		int32		2147483647	-1	0	0
1	403	starlevel	0		int8		10	0	0	0
1	442	ownershiplogic	0		int32			0	0	0
1	443	ownershipstate	0		int32			0	17	0
1	444	ownershipavatar	0		int64	0	9223372036854775807	-9223372036854775808	19	0
1	445	ownershipteam	0		int64	0	9223372036854775807	-9223372036854775808	19	0
1	458	bubbleid	0		int32		2147483647	-1	19	0
1	480	droptemplateid	0		int32		2147483647	-1	0	0
1	481	dropworldid	0		int32		2147483647	-1	0	0
1	482	dropcustomid	0		int32		2147483647	-1	0	0
1	483	dropquestid	0		int32		2147483647	-1	0	0
1	484	dropradius	0		f32	0			0	0
1	500	part_model_type_id_0	0		uint32		4294967295	0	0	0
1	501	part_model_type_id_1	0		uint32		4294967295	0	0	0
1	502	part_model_type_id_2	0		uint32		4294967295	0	0	0
1	503	part_model_type_id_3	0		uint32		4294967295	0	0	0
1	504	part_model_type_id_4	0		uint32		4294967295	0	0	0
1	620	growid	0		int32		65535	-1	19	0
1	621	growcount	0		int8		127	-1	17	0
1	623	evil_value_dec	0		int32		65535	0	0	0
1	700	spp	1		f32	1	10	0	273	0
1	701	spr	0		f32	1	10	0	273	0
1	702	triggereventflag	0		int8	1	1	0	0	0
1	703	userdata1	0		int32		2147483647	-1	0	0
1	704	userdata2	0		int32		2147483647	-1	0	0
1	705	userdata3	0		int32		2147483647	-1	0	0
2	0	guidhigh	0		int64		9223372036854775807	-9223372036854775808	105	0
2	1	guidlow	0		int64		9223372036854775807	-9223372036854775808	105	0
2	2	skilllevel	0		uint8	1			47	0
2	3	skillstar	0		int8	0			41	0
2	4	skillexp	0		uint32	0			41	0
4	0	coinid	0	货币类型	uint16				41	0
4	1	count	0	数量	int32				41	0
4	3	guidhigh	0		int64				97	0
4	4	guidlow	0		int64				97	0
4	5	daycount	0		int32				41	0
6	0	activitytype	0	奖励类型	int16	3	32767	0	41	0
6	1	intdata0	0	上月签到数据	int32	0	2147483647	-2147483647	41	0
6	2	intdata1	0	当月签到数据	int32	0	2147483647	-2147483647	41	0
6	3	intdata2	0	累积签到次数	int32	0	2147483647	-2147483647	41	0
6	4	intdata3	0	最后一次更新时间	int32		2147483647	-2147483647	41	0
6	5	floatdata0	0		f32		2147483647	-2147483647	41	0
6	6	floatdata1	0		f32		2147483647	-2147483647	41	0
6	7	lastoptime	0	最后一次操作时间	uint32		4294967294	0	41	0
6	8	rewardgroup	0	对应奖励类型中的一组	int16		32767	0	41	0
6	9	guidhigh	0		int64		9223372036854775807	-9223372036854775807	33	0
6	10	guidlow	0		int64		9223372036854775807	-9223372036854775807	33	0
7	0	gameid	0	活动ID	uint16				41	0
7	1	count	0	活动次数	uint16				41	0
7	3	guidhigh	0		int64				33	0
7	4	guidlow	0		int64				33	0
8	0	CreditID	0	声望类型索引	uint16				41	0
8	1	CreditValue	0	声望值	int32				297	0
8	2	CreditFlag	0	是否战斗状态	uint8				297	0
8	3	guidhigh	0		int64				97	0
8	4	guidlow	0		int64				97	0
9	0	guidhigh	0		int64		9223372036854775807	-9223372036854775808	97	0
9	1	guidlow	0		int64		9223372036854775807	-9223372036854775808	97	0
9	2	barid	0		int32		20	0	41	0
9	3	slotid	0		int32		20	0	41	0
9	4	actiontype	0		int32		20	0	41	0
9	5	data0	0		int32		2147483647	-2147483647	41	0
9	6	data1	0		int32		2147483647	-2147483647	41	0
9	7	data2	0		int32		2147483647	-2147483647	41	0
9	8	data3	0		int32		2147483647	-2147483647	41	0
9	9	data4	0		int32		2147483647	-2147483647	41	0
10	0	bagtype	0		int8		127	-1	41	0
10	1	slotid	0		int16		32767	-1	41	0
10	4	quantity	0		int32		2147483647	0	1065	0
10	5	guidhigh	0		int64		9223372036854775807	-9223372036854775808	105	0
10	6	guidlow	0		int64		9223372036854775807	-9223372036854775808	105	0
10	9	usecount	0		int32		2147483647	-9223372036854775808	1065	0
10	10	validtime	0		int64		9223372036854775807	-9223372036854775808	1065	0
10	11	bind	0		int8		1	0	1065	0
10	23	exattrnum	0		int32			0	1065	0
10	33	quality	0		int32			0	1065	0
10	34	qualitymod	0		int32			-1	1065	0
10	36	proxydataid	0		int32		2147483647	-1	41	0
10	37	proxyguidhigh	0		int64		9223372036854775807	-9223372036854775808	41	0
10	38	proxyguidlow	0		int64		9223372036854775807	-9223372036854775808	41	0
10	39	enhancelevel	0		int32		2147483647	-1	1065	0
10	40	level	0		int32		2147483647	-1	1065	0
10	41	exp	0		int32			0	1065	0
10	50	equipdec	0		int32			-1	1065	0
10	51	colorindex	0		int8		127	-1	1065	0
10	60	exattr0	0		uint32			0	1065	0
10	61	exattr1	0		uint32			0	1065	0
10	62	exattr2	0		uint32			0	1065	0
10	63	exattr3	0		uint32			0	1065	0
10	64	exattr4	0		uint32			0	1065	0
10	65	exattr5	0		uint32			0	1065	0
10	66	exattr6	0		uint32			0	1065	0
10	67	exattr7	0		uint32			0	1065	0
10	68	exattr8	0		uint32			0	1065	0
10	69	exattr9	0		uint32			0	1065	0
10	70	exattr10	0		uint32			0	1065	0
10	71	exattr11	0		uint32			0	1065	0
10	72	exattr12	0		uint32			0	1065	0
10	73	exattr13	0		uint32			0	1065	0
10	74	exattr14	0		uint32			0	1065	0
10	75	hole1	0		uint32		4294967295		41	0
10	76	hole2	0		uint32		4294967295		41	0
10	77	hole3	0		uint32		4294967295		41	0
10	78	hole4	0		uint32		4294967295		41	0
10	79	hole5	0		uint32		4294967295		49	0
10	80	holenum	0		int8	0	5	0	41	0
10	81	forge	0		int8	0	255	0	41	0
10	100	score	0		int32			0	9	0
10	101	durability	0		int32	0		0	1065	0
12	0	buffid	0		int32		65536	0	63	0
12	1	bufflevel	0		int8		100	0	63	0
12	2	casterdid	0		int64		9223372036854775807	-9223372036854775808	63	0
12	3	totaltime	0		int32		2147483647	0	63	0
12	4	lasttime	0		int32		2147483647	0	63	0
12	5	curperiod	0		int32		100000	0	39	0
12	7	layercnt	0		int8		10	0	63	0
12	8	createtime	0		uint64		18446744073709551615	0	63	0
12	9	guidhigh	0		int64		9223372036854775807	-9223372036854775808	97	0
12	10	guidlow	0		int64		9223372036854775807	-9223372036854775808	97	0
12	11	casterid	0		int32		2147483647	-2147483647	25	0
13	0	questid	0		int32		2147483647	0	47	0
13	1	eventid	0		uint32				41	0
13	2	eventcount	0		int32				41	0
13	3	queststate	0		int32		10	0	47	0
13	4	accepttype	0		int32		65536	-1	47	0
13	5	taravatardid	0		int64				47	0
13	6	data2	0		int32		65536	-1	47	0
13	7	data3	0		int32		65536	-1	47	0
13	8	data4	0		int32		65536	-1	47	0
13	9	data5	0		int32		65536	-1	47	0
13	10	data6	0		int32		65536	-1	47	0
13	11	data7	0		int32		65536	-1	47	0
13	12	data8	0		int32		2147483647	-1	47	0
13	13	data9	0		int32		2147483647	-1	41	0
13	14	guidhigh	0		int64		9223372036854775807	-9223372036854775808	105	0
13	15	guidlow	0		int64		9223372036854775807	-9223372036854775808	105	0
14	0	guidhigh	0		int64		9223372036854775807	-9223372036854775808	105	0
14	1	guidlow	0		int64		9223372036854775807	-9223372036854775808	105	0
14	2	idx	0		int32		2147483647	-2147483647	47	0
14	3	data0	0		int32		2147483647	-2147483647	47	0
14	4	data1	0		int32		2147483647	-2147483647	47	0
14	5	data2	0		int32		2147483647	-2147483647	47	0
14	6	data3	0		int32		2147483647	-2147483647	47	0
14	7	data4	0		int32		2147483647	-2147483647	47	0
14	8	data5	0		int32		2147483647	-2147483647	47	0
14	9	data6	0		int32		2147483647	-2147483647	47	0
14	10	data7	0		int32		2147483647	-2147483647	47	0
14	11	data8	0		int32		2147483647	-2147483647	47	0
14	12	data9	0		int32		2147483647	-2147483647	47	0
14	13	data10	0		int32		2147483647	-2147483647	47	0
14	14	data11	0		int32		2147483647	-2147483647	47	0
14	15	data12	0		int32		2147483647	-2147483647	47	0
14	16	data13	0		int32		2147483647	-2147483647	47	0
14	17	data14	0		int32		2147483647	-2147483647	47	0
14	18	data15	0		int32		2147483647	-2147483647	47	0
14	19	data16	0		int32		2147483647	-2147483647	47	0
14	20	data17	0		int32		2147483647	-2147483647	47	0
14	21	data18	0		int32		2147483647	-2147483647	47	0
14	22	data19	0		int32		2147483647	-2147483647	47	0
14	23	data20	0		int32		2147483647	-2147483647	47	0
15	0	guildid	0	帮会DID	int64				49	0
15	1	guildlevel	0	帮会等级	int32				49	0
15	2	guildtitle	0	帮会名称	Char64				49	0
15	3	guildnotice	0	帮派通知	Char128				49	0
15	4	createtime	0	帮派创建	uint32				49	0
15	5	leaderdid	0	帮会会长DID	int64				49	0
15	6	leadertitle	0	帮主名称	Char64				49	0
15	7	warstate	0	帮战状态	int8	0			17	0
15	8	bonus	0	红利	int32				49	0
15	9	defendlevel	0	防御等级	int32				49	0
15	10	TokenID	0		uint16	0			1	0
15	11	guildkey	0	帮会ID	int32				49	7
15	12	maxmember	0	人数上限	int32				17	0
15	13	deputyleader	0	副帮主权限	int32				49	0
15	14	officeholder	0	官员权限	int32				49	0
15	15	elitemember	0	精英权限	int32				49	0
15	16	normalmember	0	帮众权限	int32				49	0
15	19	weekupdatetime	0	周维护时间	uint32				33	0
15	20	updatetype	0	维护类型	int32				33	0
15	21	updatetime	0	维护时间(上次)	uint32				33	0
15	22	shoplevel	0	商店等级	int32				17	0
15	23	skilllevel	0	技能等级	int32				17	0
15	30	reswood	0	木材	int32				49	0
15	31	maxwood	0	木材上限	int32				17	0
15	32	resstone	0	石材	int32				49	0
15	33	maxstone	0	石材上限	int32				17	0
15	34	resbuildtoken	0	建造令牌	int32				49	0
15	35	answeractivies	0	答题活动次数	int32				49	0
15	41	buildnpc	0	建造NPCID 	int32				17	0
15	42	buildtime	0	建造时间	uint32				17	0
15	50	wartime	0	帮战时间	uint32				49	0
15	51	warattacktimes	0	帮战攻击次数	int8				49	0
15	52	wardefendtimes	0	帮战防御次数	int8				49	0
15	53	warscore	0	帮战积分	int32				49	0
15	60	localsceneid	0	帮会场景id	int32				1	0
15	61	allianceid	0	同盟ID	int64	0			49	0
15	62	alliancecd	0	同盟CD	uint32				33	0
15	70	guildflag	0	帮会flag	uint32				49	0
15	71	declarewartarget	0	宣战目标	int64				49	0
15	72	declarewartime	0	宣战时间	uint32				49	0
15	73	declarewarcd	0	宣战CD	uint32				49	0
15	80	protecttime	0	保护时间	uint32				49	0
15	81	basebroken	0	基地破坏时间	uint32				49	0
15	82	shopbroken	0	商铺破坏时间	uint32				49	0
15	83	skillbroken	0	修炼破坏时间	uint32				49	0
15	84	defendbroken	0	防御破坏时间	uint32				49	0
15	90	guildhonor	0	帮会荣誉	int32				49	0
16	0	guildid	0	帮会ID	int64				49	0
16	1	memberdid	0	成员DID	int64				49	0
16	2	name	0	成员名称	Char64				49	0
16	3	vocation	0	成员职业	uint8		255	0	49	0
16	4	level	0	成员等级	uint8		255	0	49	0
16	5	post	0	职位	int32				49	0
16	6	sceneid	0	场景	int32				1	0
16	7	jointime	0	加入时间	uint32				49	0
16	8	onlinetime	0	在线时间	uint32				49	0
16	10	worldflag	0	是否在线	uint8		255	0	1	0
16	13	contributionweek	0	周帮贡	int32				49	0
16	14	contributionall	0	总帮贡	int32				49	0
