ReMark	 Des	ID	titleid	MNTitleStr	level	starlevel	vocation	npcflag	camp	sex	modid	ModSize	MinReliveTime	MaxReliveTime	aidataid	skillgroup	aialarmid	counter	collisiontype	ownershiplogic	dialogid	bubbleid	runspeed	circuityspeed	turnspeed	bornanim	dropquestid	droptemplateid	dropworldid	dropradius	triggereventflag	npcexp	npcexpparam
0-1	怪物	100001	6100001	7100001	25	2	1	1	2	1	2	4	0	0	50	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100002	6100002	7100002	25	2	1	61	2	1	15002	4	0	0	202	208	0	0	2	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100003	6100003	7100003	25	4	1	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
0-1	怪物	100004	6100004	7100004	25	5	1	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
0-1	助战	100010	6100010	7100010	1	1	1	102	1	1	1	4	0	0	601	206	11	0	0	4	-1	0	5	3	2	-1	0	0	0	0	0	0	0
0-1	助战	100011	6100011	7100011	1	1	1	102	1	1	2	4	0	0	602	206	11	0	0	4	-1	0	5	3	2	-1	0	0	0	0	0	0	0
0-1	助战	100012	6100012	7100012	1	1	1	102	1	1	3	4	0	0	603	206	11	0	0	4	-1	0	5	3	2	-1	0	0	0	0	0	0	0
0-1	怪物	100051	6100051	7100051	1	7	1	1	2	1	15011	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100052	6100052	7100052	1	7	1	1	2	1	15012	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100053	6100053	7100053	1	7	1	1	2	1	15013	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100054	6100054	7100054	1	7	1	1	2	1	15014	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100055	6100055	7100055	1	7	1	1	2	1	15015	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100056	6100056	7100056	1	7	1	1	2	1	15016	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100057	6100057	7100057	1	7	1	1	2	1	15017	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100058	6100058	7100058	1	7	1	1	2	1	15018	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100059	6100059	7100059	1	7	1	1	2	1	15019	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100060	6100060	7100060	1	7	1	1	2	1	15020	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100061	6100061	7100061	1	7	1	1	2	1	15021	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100062	6100062	7100062	1	7	1	1	2	1	15022	4	0	0	-1	206	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
0-1	怪物	100063	6100063	7100063	1	1	3	99	1	1	15010	0	0	0	702	212	0	0	1	4	-1	0	0	0	2	-1	0	0	0	0	0	0	0
1-1-1	怪物	100101	6100101	7100101	1	1	1	1	2	1	2	4	0	0	50	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-1-2	怪物	100102	6100102	7100102	1	1	1	1	2	1	2	4	0	0	50	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-2-1	怪物	100201	6100201	7100201	1	1	2	61	2	1	2	4	0	0	50	206	0	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-2-2	怪物	100202	6100202	7100202	1	1	2	61	2	1	2	4	0	0	51	206	0	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-3-1	怪物	100301	6100301	7100301	1	1	2	61	2	1	2	4	0	0	63	206	0	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-3-2	怪物	100302	6100302	7100302	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-3-3	怪物	100303	6100303	7100303	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-3-4	怪物	100304	6100304	7100304	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-4-1	怪物	100401	6100401	7100401	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-4-2	怪物	100402	6100402	7100402	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-4-3	怪物	100403	6100403	7100403	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-5-1	怪物	100501	6100501	7100501	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-5-2	怪物	100502	6100502	7100502	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-5-3	怪物	100503	6100503	7100503	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-6-1	怪物	100601	6100601	7100601	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-6-2	怪物	100602	6100602	7100602	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-6-3	怪物	100603	6100603	7100603	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-6-4	怪物	100604	6100604	7100604	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-7-1	怪物	100701	6100701	7100701	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-7-2	怪物	100702	6100702	7100702	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-7-3	怪物	100703	6100703	7100703	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-8-1	怪物	100801	6100801	7100801	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-8-2	怪物	100802	6100802	7100802	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-8-3	怪物	100803	6100803	7100803	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-9-1	怪物	100901	6100901	7100901	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-9-2	怪物	100902	6100902	7100902	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-9-3	怪物	100903	6100903	7100903	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-9-4	怪物	100904	6100904	7100904	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-9-5	怪物	100905	6100905	7100905	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-10-1	怪物	101001	6101001	7101001	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-10-2	怪物	101002	6101002	7101002	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-10-3	怪物	101003	6101003	7101003	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-10-4	怪物	101004	6101004	7101004	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-11-1	怪物	101101	6101101	7101101	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-11-2	怪物	101102	6101102	7101102	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-11-3	怪物	101103	6101103	7101103	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-11-4	怪物	101104	6101104	7101104	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-12-1	怪物	101201	6101201	7101201	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-12-2	怪物	101202	6101202	7101202	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-12-3	怪物	101203	6101203	7101203	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-12-4	怪物	101204	6101204	7101204	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
1-12-5	怪物	101205	6101205	7101205	1	1	1	1	2	1	2	4	0	0	0	0	1	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
多人PVE	怪物	200101	6200101	7200101	25	5	1	61	2	1	15004	4	0	0	59	209	0	0	3	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
单人材料1	怪物	400001	6400001	7400001	1	1	3	61	2	1	15001	4	0	0	53	207	0	0	1	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
单人材料1	怪物	400002	6400002	7400002	1	1	3	99	1	1	15010	0	0	0	701	211	0	0	1	4	-1	0	0	0	2	-1	0	0	0	0	0	0	0
单人材料2	怪物	400101	6400101	7400101	1	1	3	61	2	1	15001	4	0	0	53	207	0	0	1	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
单人材料1	怪物	400201	6400201	7400201	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
单人材料2	怪物	400301	6400301	7400301	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
单人材料1	怪物	400401	6400401	7400401	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
单人材料2	怪物	400501	6400501	7400501	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
单人材料1	怪物	400601	6400601	7400601	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
单人材料2	怪物	400701	6400701	7400701	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
单人材料1	怪物	400801	6400801	7400801	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
单人材料2	怪物	400901	6400901	7400901	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
组队材料1	怪物	450001	6450001	7450001	1	1	3	61	2	1	15001	4	0	0	53	207	0	0	1	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
组队材料2	怪物	450101	6450101	7450101	1	1	3	61	2	1	15001	4	0	0	53	207	0	0	1	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
组队材料1	怪物	450201	6450201	7450201	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
组队材料2	怪物	450301	6450301	7450301	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
组队材料1	怪物	450401	6450401	7450401	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
组队材料2	怪物	450501	6450501	7450501	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
组队材料1	怪物	450601	6450601	7450601	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
组队材料2	怪物	450701	6450701	7450701	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
组队材料1	怪物	450801	6450801	7450801	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
组队材料2	怪物	450901	6450901	7450901	1	1	3	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
任务1接	NPC	900001	6900001	7900001	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	4	0	6	2	2	-1	0	0	0	0	0	0	0
任务1交	NPC	900002	6900002	7900002	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	4	0	6	2	2	-1	0	0	0	0	0	0	0
任务2接	NPC	900101	6900101	7900101	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	5	0	6	2	2	-1	0	0	0	0	0	0	0
任务2交	NPC	900102	6900102	7900102	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	5	0	6	2	2	-1	0	0	0	0	0	0	0
任务2中间	NPC	900103	6900103	7900103	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	5	0	6	2	2	-1	0	0	0	0	0	0	0
灯塔	NPC	501	6000501	7000501	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	4	0	6	2	2	-1	0	0	0	0	0	0	0
灯塔	NPC	502	6000502	7000502	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	4	0	6	2	2	-1	0	0	0	0	0	0	0
灯塔	NPC	503	6000503	7000503	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	5	0	6	2	2	-1	0	0	0	0	0	0	0
灯塔	NPC	504	6000504	7000504	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	5	0	6	2	2	-1	0	0	0	0	0	0	0
灯塔	NPC	505	6000505	7000505	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	5	0	6	2	2	-1	0	0	0	0	0	0	0
新手村	NPC	401	6000401	7000401	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	1	0	6	2	2	-1	0	0	0	0	0	0	0
新手村	NPC	402	6000402	7000402	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	2	0	6	2	2	-1	0	0	0	0	0	0	0
新手村	NPC	403	6000403	7000403	1	1	1	101	1	1	2	4	0	0	0	0	1	0	0	0	3	0	6	2	2	-1	0	0	0	0	0	0	0
测试	怪物	100210	6100210	7100210	1	1	2	61	2	1	15005	4	0	0	57	208	0	0	2	4	-1	0	6	2	2	52	0	0	0	0	0	0	0
测试	怪物	100211	6100211	7100211	1	1	19	61	2	1	15004	4	0	0	59	209	0	0	3	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
测试	怪物	100212	6100212	7100212	25	4	1	61	2	1	15004	4	0	0	1001	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
测试	怪物	100213	6100213	7100213	25	4	1	61	2	1	15005	4	0	0	202	208	10	0	2	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
测试	怪物	100214	6100214	7100214	25	4	1	61	2	1	15004	4	0	0	56	209	0	0	3	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
测试	助战	100215	6100215	7100215	25	4	1	61	1	1	1	4	0	0	601	206	12	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
测试	助战	100216	6100216	7100216	25	4	1	61	1	1	2	4	0	0	602	206	12	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
测试	助战	100217	6100217	7100217	25	4	1	61	1	1	3	4	0	0	603	206	11	0	0	4	-1	0	6	2	2	-1	0	0	0	0	0	0	0
测试	怪物	100218	6100218	7100218	25	4	1	61	2	1	15006	4	0	0	1002	210	0	0	4	4	-1	0	10	4	2	-1	0	0	0	0	0	0	0
